outer_iter,iter,N1,N2,N3,N4,DT1,DT2,DT3,DT4,cost,R_abs_sum,RT_abs_sum
0,1,60,60,60,60,60.0087,60.0087,60.0087,60.0087,0,0,0
0,2,60,60,60,60,60.0091,60.0092,60.0091,60.0091,0,0,0
0,3,60,60,60,60,60.0075,60.0077,60.0075,60.0076,0,0,0
0,4,60,60,60,60,60.0052,60.0063,60.0051,60.0054,0,0,0
0,5,60,60,60,60,60.003,60.0071,60.0028,60.0038,0,0,0
0,6,60,60,60,60,56.9062,57.5391,56.785,56.9848,0,0,0
0,7,60,60,60,60,54.5328,55.9962,54.7925,54.425,0,0,0
0,8,60,60,60,60,54.4167,55.7915,54.901,54.1713,0,0,0
0,9,60,60,60,60,54.3964,55.7564,54.9494,54.1106,0,0,0
0,10,60,60,60,60,54.359,55.6925,55.0566,53.9907,0,0,0
0,11,60,60,60,60,54.3064,55.1637,55.2936,53.7567,0,0,0
0,12,60,60,60,60,54.3113,54.1019,56.0142,53.3099,0,0,0
0,13,60,60,60,60,54.5876,53.3105,57.7679,52.9012,0,0,0
0,14,60,60,60,60,55.8903,52.1927,63.953,52.1313,0,0,0
0,15,60,60,60,60,59.3208,51.7293,74.8645,51.4883,0,0,0
0,16,60,60,60,60,70.3351,52.3182,95.7671,50.477,0,0,0
0,17,60,60,60,60,76.6224,54.9208,103.557,50.6409,0,0,0
0,18,60,60,60,60,76.6274,54.9332,103.558,50.6582,0,0,0
0,19,60,60,60,60,76.6377,54.9617,103.56,50.6835,0,0,0
0,20,60,60,60,60,76.6464,54.9914,103.56,50.7015,0,0,0
0,21,60,60,60,60,76.6526,55.0201,103.561,50.7174,0,0,0
0,22,60,60,60,60,76.6608,55.0778,103.561,50.7352,0,0,0
0,23,60,60,60,60,76.663,55.1254,103.561,50.7499,0,0,0
0,24,60,60,60,60,76.6646,55.1639,103.562,50.7636,0,0,0
0,25,60,60,60,60,76.6661,55.1917,103.562,50.7784,0,0,0
0,26,60,60,60,60,76.6677,55.2123,103.562,50.7945,0,0,0
0,27,60,60,60,60,76.6693,55.2276,103.562,50.8122,0,0,0
0,28,60,60,60,60,76.6709,55.2392,103.562,50.8317,0,0,0
0,29,60,60,60,60,76.6725,55.2484,103.563,50.8532,0,0,0
0,30,60,60,60,60,76.6741,55.256,103.563,50.8769,0,0,0
0,31,60,60,60,60,76.6757,55.2626,103.563,50.9031,0,0,0
0,32,60,60,60,60,76.6773,55.2686,103.563,50.9321,0,0,0
0,33,60,60,60,60,76.6789,55.2743,103.563,50.9641,0,0,0
0,34,60,60,60,60,76.6805,55.2798,103.564,50.9992,0,0,0
0,35,60,60,60,60,76.6821,55.2852,103.564,51.0377,0,0,0
0,36,60,60,60,60,76.6837,55.2906,103.564,51.0797,0,0,0
0,37,60,60,60,60,76.6853,55.296,103.564,51.1252,0,0,0
0,38,60,60,60,60,76.6869,55.3016,103.564,51.1745,0,0,0
0,39,60,60,60,60,76.6885,55.3071,103.565,51.2277,0,0,0
0,40,60,60,60,60,76.6901,55.3128,103.565,51.2849,0,0,0
0,41,60,60,60,60,76.6916,55.3186,103.565,51.3464,0,0,0
0,42,60,60,60,60,76.6932,55.3244,103.565,51.4123,0,0,0
0,43,60,60,60,60,76.694,55.3273,103.565,51.4477,0,0,0
0,44,60,60,60,60,76.6948,55.3303,103.566,51.4843,0,0,0
0,45,60,60,60,60,76.6956,55.3333,103.566,51.5223,0,0,0
0,46,60,60,60,60,76.6964,55.3363,103.566,51.5617,0,0,0
0,47,60,60,60,60,76.6971,55.3392,103.566,51.6025,0,0,0
0,48,60,60,60,60,76.6979,55.3422,103.566,51.6447,0,0,0
0,49,60,60,60,60,76.6983,55.3437,103.566,51.6665,0,0,0
0,50,60,60,60,60,76.6987,55.3452,103.566,51.6888,0,0,0
1,1,60,60,60,60,76.6987,55.3452,103.566,51.6888,0,5.88708,0.327799
1,2,60,60,60,60,76.6987,55.3453,103.566,51.6888,0,5.88708,0.327799
1,3,60,60,60,60,76.6987,55.3453,103.566,51.6888,0,5.88708,0.327799
