outer_iter,iter,time,x,y,z,vx,vy,vz
0,1,0,10,-35,5,0,0,0
0,1,1.00015,10,-35,5.00005,1.81985e-05,1.69189e-05,9.33073e-05
0,1,2.00029,10,-35,5.00019,3.68326e-05,3.40843e-05,0.000184058
0,1,3.00044,10.0001,-34.9999,5.00041,5.58966e-05,5.14784e-05,0.000272296
0,1,4.00058,10.0001,-34.9999,5.00073,7.53851e-05,6.90833e-05,0.000358068
0,1,5.00073,10.0002,-34.9998,5.00113,9.52927e-05,8.68815e-05,0.000441415
0,1,6.00087,10.0003,-34.9997,5.00161,0.000115614,0.000104855,0.00052238
0,1,7.00102,10.0005,-34.9996,5.00217,0.000136345,0.000122988,0.000601004
0,1,8.00116,10.0006,-34.9994,5.00281,0.000157479,0.000141261,0.000677327
0,1,9.00131,10.0008,-34.9993,5.00353,0.000179012,0.000159659,0.000751389
0,1,10.0015,10.001,-34.9991,5.00431,0.000200939,0.000178163,0.000823227
0,1,11.0016,10.0012,-34.9989,5.00517,0.000223256,0.000196757,0.000892879
0,1,12.0017,10.0014,-34.9987,5.0061,0.000245957,0.000215423,0.00096038
0,1,13.0019,10.0017,-34.9985,5.00709,0.000269038,0.000234145,0.00102577
0,1,14.002,10.002,-34.9983,5.00815,0.000292495,0.000252905,0.00108908
0,1,15.0022,10.0023,-34.998,5.00927,0.000316324,0.000271686,0.00115034
0,1,16.0023,10.0026,-34.9977,5.01045,0.00034052,0.000290471,0.00120958
0,1,17.0025,10.0029,-34.9974,5.01169,0.000365078,0.000309243,0.00126685
0,1,18.0026,10.0033,-34.9971,5.01298,0.000389996,0.000327984,0.00132217
0,1,19.0028,10.0037,-34.9968,5.01433,0.000415269,0.000346676,0.00137557
0,1,20.0029,10.0041,-34.9964,5.01573,0.000440892,0.000365303,0.00142707
0,1,21.003,10.0046,-34.996,5.01719,0.000466863,0.000383845,0.00147672
0,1,22.0032,10.0051,-34.9956,5.01869,0.000493177,0.000402287,0.00152454
0,1,23.0033,10.0056,-34.9952,5.02023,0.000519831,0.000420608,0.00157055
0,1,24.0035,10.0061,-34.9948,5.02183,0.000546821,0.000438791,0.00161478
0,1,25.0036,10.0067,-34.9943,5.02346,0.000574144,0.000456818,0.00165726
0,1,26.0038,10.0073,-34.9939,5.02514,0.000601796,0.00047467,0.00169801
0,1,27.0039,10.0079,-34.9934,5.02686,0.000629773,0.000492327,0.00173706
0,1,28.0041,10.0085,-34.9929,5.02861,0.000658072,0.00050977,0.00177443
0,1,29.0042,10.0092,-34.9924,5.03041,0.000686691,0.000526981,0.00181014
0,1,30.0044,10.0099,-34.9918,5.03223,0.000715625,0.000543938,0.00184423
0,1,31.0045,10.0106,-34.9913,5.0341,0.000744871,0.000560622,0.0018767
0,1,32.0046,10.0114,-34.9907,5.03599,0.000774427,0.000577013,0.00190759
0,1,33.0048,10.0122,-34.9901,5.03791,0.000804289,0.00059309,0.00193691
0,1,34.0049,10.013,-34.9895,5.03986,0.000834454,0.000608831,0.00196468
0,1,35.0051,10.0139,-34.9889,5.04184,0.000864919,0.000624215,0.00199093
0,1,36.0052,10.0147,-34.9883,5.04384,0.000895681,0.00063922,0.00201567
0,1,37.0054,10.0156,-34.9876,5.04587,0.000926738,0.000653823,0.00203892
0,1,38.0055,10.0166,-34.987,5.04792,0.000958085,0.000668003,0.00206069
0,1,39.0057,10.0176,-34.9863,5.04999,0.000989721,0.000681734,0.00208102
0,1,40.0058,10.0186,-34.9856,5.05208,0.00102164,0.000694995,0.0020999
0,1,41.0059,10.0196,-34.9849,5.05419,0.00105385,0.000707759,0.00211737
0,1,42.0061,10.0207,-34.9842,5.05632,0.00108633,0.000720003,0.00213343
0,1,43.0062,10.0218,-34.9835,5.05846,0.00111909,0.0007317,0.00214809
0,1,44.0064,10.0229,-34.9827,5.06061,0.00115213,0.000742825,0.00216138
0,1,45.0065,10.0241,-34.982,5.06278,0.00118544,0.00075335,0.00217331
0,1,46.0067,10.0253,-34.9812,5.06496,0.00121901,0.000763247,0.00218389
0,1,47.0068,10.0265,-34.9805,5.06715,0.00125286,0.000772489,0.00219312
0,1,48.007,10.0278,-34.9797,5.06935,0.00128697,0.000781046,0.00220103
0,1,49.0071,10.0291,-34.9789,5.07155,0.00132134,0.000788887,0.00220762
0,1,50.0073,10.0304,-34.9781,5.07376,0.00135597,0.000795981,0.0022129
0,1,51.0074,10.0318,-34.9773,5.07598,0.00139086,0.000802296,0.00221688
0,1,52.0075,10.0332,-34.9765,5.0782,0.001426,0.000807799,0.00221956
0,1,53.0077,10.0347,-34.9757,5.08042,0.0014614,0.000812455,0.00222096
0,1,54.0078,10.0361,-34.9749,5.08264,0.00149705,0.000816228,0.00222107
0,1,55.008,10.0377,-34.9741,5.08486,0.00153295,0.000819083,0.00221991
0,1,56.0081,10.0392,-34.9732,5.08708,0.0015691,0.000820981,0.00221748
0,1,57.0083,10.0408,-34.9724,5.08929,0.00160549,0.000821883,0.00221378
0,1,58.0084,10.0424,-34.9716,5.0915,0.00164212,0.00082175,0.00220881
