outer_iter,iter,time,x,y,z,vx,vy,vz
0,1,0,10,-35,5,0,0,0
0,1,1.00015,10,-35,5.00005,1.81519e-05,1.6017e-05,9.32443e-05
0,1,2.00029,10,-35,5.00019,3.67444e-05,3.22787e-05,0.000183939
0,1,3.00044,10.0001,-34.9999,5.00041,5.57715e-05,4.87705e-05,0.000272128
0,1,4.00058,10.0001,-34.9999,5.00073,7.52275e-05,6.54777e-05,0.000357857
0,1,5.00073,10.0002,-34.9998,5.00113,9.51065e-05,8.23859e-05,0.000441168
0,1,6.00087,10.0003,-34.9997,5.00161,0.000115403,9.94808e-05,0.000522102
0,1,7.00102,10.0005,-34.9996,5.00217,0.000136112,0.000116748,0.000600701
0,1,8.00116,10.0006,-34.9995,5.00281,0.000157227,0.000134174,0.000677005
0,1,9.00131,10.0008,-34.9993,5.00352,0.000178745,0.000151743,0.000751051
0,1,10.0015,10.001,-34.9992,5.00431,0.000200658,0.000169443,0.000822879
0,1,11.0016,10.0012,-34.999,5.00517,0.000222964,0.000187257,0.000892525
0,1,12.0017,10.0014,-34.9988,5.0061,0.000245656,0.000205173,0.000960025
0,1,13.0019,10.0017,-34.9986,5.00709,0.00026873,0.000223176,0.00102541
0,1,14.002,10.002,-34.9983,5.00815,0.000292181,0.000241252,0.00108873
0,1,15.0022,10.0023,-34.9981,5.00927,0.000316006,0.000259385,0.00115
0,1,16.0023,10.0026,-34.9978,5.01044,0.000340198,0.000277561,0.00120926
0,1,17.0025,10.0029,-34.9975,5.01168,0.000364755,0.000295764,0.00126654
0,1,18.0026,10.0033,-34.9972,5.01298,0.000389672,0.000313981,0.00132187
0,1,19.0028,10.0037,-34.9969,5.01433,0.000414944,0.000332194,0.00137529
0,1,20.0029,10.0041,-34.9966,5.01573,0.000440569,0.000350389,0.00142682
0,1,21.003,10.0046,-34.9962,5.01718,0.000466541,0.00036855,0.00147649
0,1,22.0032,10.0051,-34.9958,5.01868,0.000492857,0.000386659,0.00152433
0,1,23.0033,10.0056,-34.9954,5.02023,0.000519513,0.000404701,0.00157036
0,1,24.0035,10.0061,-34.995,5.02182,0.000546506,0.000422658,0.00161462
0,1,25.0036,10.0067,-34.9946,5.02346,0.000573832,0.000440512,0.00165712
0,1,26.0038,10.0073,-34.9941,5.02513,0.000601486,0.000458246,0.0016979
0,1,27.0039,10.0079,-34.9937,5.02685,0.000629467,0.000475842,0.00173698
0,1,28.0041,10.0085,-34.9932,5.02861,0.000657771,0.00049328,0.00177438
0,1,29.0042,10.0092,-34.9927,5.0304,0.000686393,0.000510541,0.00181013
0,1,30.0044,10.0099,-34.9922,5.03223,0.000715332,0.000527605,0.00184424
0,1,31.0045,10.0106,-34.9916,5.03409,0.000744583,0.000544451,0.00187674
0,1,32.0046,10.0114,-34.9911,5.03598,0.000774143,0.000561059,0.00190766
0,1,33.0048,10.0122,-34.9905,5.0379,0.00080401,0.000577406,0.00193701
0,1,34.0049,10.013,-34.9899,5.03985,0.000834181,0.000593471,0.00196481
0,1,35.0051,10.0138,-34.9893,5.04183,0.000864652,0.00060923,0.00199108
0,1,36.0052,10.0147,-34.9887,5.04384,0.00089542,0.000624659,0.00201584
0,1,37.0054,10.0156,-34.9881,5.04586,0.000926482,0.000639734,0.00203911
0,1,38.0055,10.0166,-34.9874,5.04791,0.000957836,0.00065443,0.00206092
0,1,39.0057,10.0176,-34.9868,5.04999,0.000989479,0.00066872,0.00208126
0,1,40.0058,10.0186,-34.9861,5.05208,0.00102141,0.000682577,0.00210017
0,1,41.0059,10.0196,-34.9854,5.05419,0.00105362,0.000695974,0.00211765
0,1,42.0061,10.0207,-34.9847,5.05631,0.00108611,0.000708882,0.00213373
0,1,43.0062,10.0218,-34.984,5.05845,0.00111888,0.00072127,0.00214841
0,1,44.0064,10.0229,-34.9833,5.06061,0.00115192,0.000733109,0.00216172
0,1,45.0065,10.0241,-34.9825,5.06278,0.00118524,0.000744365,0.00217366
0,1,46.0067,10.0253,-34.9818,5.06496,0.00121883,0.000755006,0.00218425
0,1,47.0068,10.0265,-34.981,5.06715,0.00125268,0.000764997,0.0021935
0,1,48.007,10.0278,-34.9802,5.06934,0.0012868,0.000774302,0.00220142
0,1,49.0071,10.0291,-34.9795,5.07155,0.00132118,0.000782884,0.00220801
0,1,50.0073,10.0304,-34.9787,5.07376,0.00135582,0.000790705,0.0022133
0,1,51.0074,10.0318,-34.9779,5.07598,0.00139072,0.000797724,0.00221728
0,1,52.0075,10.0332,-34.9771,5.07819,0.00142588,0.0008039,0.00221997
