outer_iter,iter,time,x,y,z,vx,vy,vz
0,1,0,10,-35,5,0,0,0
0,1,8.31803,10.0012,-35,4.99979,0.000289882,-1.09665e-05,-4.97054e-05
0,1,16.6361,10.0048,-35.0002,4.99917,0.000579356,-2.60382e-05,-9.94276e-05
0,1,24.9541,10.0108,-35.0005,4.99814,0.000868437,-4.52294e-05,-0.000149162
0,1,33.2721,10.0193,-35.001,4.99669,0.00115714,-6.85549e-05,-0.000198903
0,1,41.5902,10.0301,-35.0016,4.99483,0.00144548,-9.60298e-05,-0.000248646
0,1,49.9082,10.0433,-35.0026,4.99256,0.00173348,-0.00012767,-0.000298385
0,1,58.2262,10.0589,-35.0038,4.98987,0.00202114,-0.000163491,-0.000348117
0,1,66.5443,10.0769,-35.0053,4.98676,0.00230847,-0.000203509,-0.000397837
0,1,74.8623,10.0973,-35.0072,4.98325,0.00259549,-0.000247741,-0.000447538
0,1,83.1803,10.1201,-35.0094,4.97932,0.00288221,-0.000296203,-0.000497217
0,1,91.4984,10.1453,-35.0121,4.97498,0.00316864,-0.000348912,-0.000546868
0,1,99.8164,10.1728,-35.0152,4.97022,0.00345478,-0.000405886,-0.000596486
0,1,108.134,10.2028,-35.0189,4.96505,0.00374065,-0.000467141,-0.000646067
0,1,116.452,10.2351,-35.023,4.95947,0.00402625,-0.000532696,-0.000695606
0,1,124.771,10.2697,-35.0277,4.95348,0.00431159,-0.000602568,-0.000745098
0,1,133.089,10.3068,-35.0331,4.94708,0.00459668,-0.000676776,-0.000794538
0,1,141.407,10.3462,-35.039,4.94026,0.00488151,-0.000755337,-0.000843921
0,1,149.725,10.388,-35.0456,4.93304,0.0051661,-0.000838271,-0.000893242
0,1,158.043,10.4321,-35.053,4.9254,0.00545044,-0.000925597,-0.000942497
0,1,166.361,10.4787,-35.061,4.91736,0.00573454,-0.00101733,-0.00099168
0,1,174.679,10.5275,-35.0699,4.90891,0.0060184,-0.0011135,-0.00104079
0,1,182.997,10.5788,-35.0796,4.90004,0.00630202,-0.00121412,-0.00108981
0,1,191.315,10.6324,-35.0901,4.89078,0.0065854,-0.00131922,-0.00113875
0,1,199.633,10.6883,-35.1015,4.8811,0.00686855,-0.0014288,-0.0011876
0,1,207.951,10.7467,-35.1139,4.87102,0.00715145,-0.00154291,-0.00123636
0,1,216.269,10.8073,-35.1272,4.86053,0.0074341,-0.00166156,-0.00128501
0,1,224.587,10.8703,-35.1415,4.84964,0.00771651,-0.00178477,-0.00133356
0,1,232.905,10.9357,-35.1569,4.83835,0.00799867,-0.00191257,-0.00138199
0,1,241.223,11.0034,-35.1734,4.82665,0.00828057,-0.00204499,-0.00143031
0,1,249.541,11.0734,-35.191,4.81455,0.0085622,-0.00218206,-0.00147852
0,1,257.859,11.1458,-35.2097,4.80205,0.00884356,-0.0023238,-0.00152659
0,1,266.177,11.2206,-35.2296,4.78916,0.00912464,-0.00247024,-0.00157454
0,1,274.495,11.2976,-35.2508,4.77586,0.00940543,-0.00262142,-0.00162235
0,1,282.813,11.377,-35.2732,4.76217,0.00968592,-0.00277737,-0.00167001
0,1,291.131,11.4588,-35.297,4.74808,0.00996609,-0.00293812,-0.00171754
0,1,299.449,11.5428,-35.3221,4.7336,0.0102459,-0.00310372,-0.00176491
0,1,307.767,11.6292,-35.3487,4.71872,0.0105254,-0.00327419,-0.00181212
0,1,316.085,11.7179,-35.3766,4.70345,0.0108046,-0.00344959,-0.00185918
0,1,324.403,11.809,-35.4061,4.68779,0.0110833,-0.00362995,-0.00190606
0,1,332.721,11.9023,-35.437,4.67174,0.0113617,-0.00381532,-0.00195277
0,1,341.039,11.998,-35.4695,4.6553,0.0116396,-0.00400575,-0.00199931
0,1,349.357,12.0959,-35.5037,4.63848,0.0119171,-0.00420129,-0.00204566
0,1,357.675,12.1962,-35.5395,4.62127,0.0121942,-0.004402,-0.00209182
0,1,365.993,12.2988,-35.5769,4.60368,0.0124707,-0.00460792,-0.00213778
0,1,374.312,12.4037,-35.6161,4.58571,0.0127467,-0.00481912,-0.00218355
0,1,382.63,12.5109,-35.6571,4.56736,0.0130222,-0.00503565,-0.0022291
0,1,390.948,12.6203,-35.6999,4.54863,0.0132971,-0.0052576,-0.00227445
0,1,399.266,12.7321,-35.7446,4.52952,0.0135713,-0.00548501,-0.00231957
0,1,407.584,12.8461,-35.7912,4.51004,0.0138449,-0.00571797,-0.00236447
0,1,415.902,12.9624,-35.8397,4.49018,0.0141177,-0.00595656,-0.00240913
0,1,424.22,13.081,-35.8903,4.46996,0.0143898,-0.00620084,-0.00245356
0,1,432.538,13.2018,-35.9429,4.44937,0.0146611,-0.0064509,-0.00249774
0,1,440.856,13.3249,-35.9976,4.42841,0.0149315,-0.00670684,-0.00254166
0,1,449.174,13.4502,-36.0545,4.40709,0.0152011,-0.00696873,-0.00258533
0,1,457.492,13.5777,-36.1136,4.3854,0.0154696,-0.00723668,-0.00262873
0,1,465.81,13.7075,-36.1749,4.36335,0.0157371,-0.00751078,-0.00267186
