outer_iter,iter,time,ux,uy,uz
0,1,0,-5.04667e-05,0.000129575,-1.51381e-05
0,1,1.01334,-4.94783e-05,0.000127552,-1.48856e-05
0,1,2.02669,-4.84946e-05,0.000125524,-1.4633e-05
0,1,3.04003,-4.75158e-05,0.000123491,-1.43805e-05
0,1,4.05338,-4.65418e-05,0.000121454,-1.41279e-05
0,1,5.06672,-4.55726e-05,0.000119411,-1.38753e-05
0,1,6.08007,-4.46083e-05,0.000117364,-1.36226e-05
0,1,7.09341,-4.36487e-05,0.000115312,-1.33699e-05
0,1,8.10676,-4.26939e-05,0.000113255,-1.31172e-05
0,1,9.1201,-4.1744e-05,0.000111194,-1.28645e-05
0,1,10.1334,-4.07989e-05,0.000109127,-1.26117e-05
0,1,11.1468,-3.98585e-05,0.000107055,-1.23588e-05
0,1,12.1601,-3.8923e-05,0.000104979,-1.2106e-05
0,1,13.1735,-3.79923e-05,0.000102898,-1.1853e-05
0,1,14.1868,-3.70663e-05,0.000100811,-1.16001e-05
0,1,15.2002,-3.61451e-05,9.872e-05,-1.13471e-05
0,1,16.2135,-3.52288e-05,9.66236e-05,-1.1094e-05
0,1,17.2269,-3.43172e-05,9.45222e-05,-1.08409e-05
0,1,18.2402,-3.34104e-05,9.24158e-05,-1.05877e-05
0,1,19.2536,-3.25084e-05,9.03042e-05,-1.03345e-05
0,1,20.2669,-3.16112e-05,8.81874e-05,-1.00812e-05
0,1,21.2802,-3.07188e-05,8.60655e-05,-9.82785e-06
0,1,22.2936,-2.98311e-05,8.39384e-05,-9.57443e-06
0,1,23.3069,-2.89482e-05,8.1806e-05,-9.32095e-06
0,1,24.3203,-2.80701e-05,7.96684e-05,-9.0674e-06
0,1,25.3336,-2.71968e-05,7.75254e-05,-8.81377e-06
0,1,26.347,-2.63282e-05,7.53771e-05,-8.56007e-06
0,1,27.3603,-2.54645e-05,7.32234e-05,-8.30629e-06
0,1,28.3737,-2.46055e-05,7.10642e-05,-8.05243e-06
0,1,29.387,-2.37513e-05,6.88996e-05,-7.79849e-06
0,1,30.4003,-2.29018e-05,6.67295e-05,-7.54446e-06
0,1,31.4137,-2.20571e-05,6.45537e-05,-7.29034e-06
0,1,32.427,-2.12173e-05,6.23724e-05,-7.03613e-06
0,1,33.4404,-2.03821e-05,6.01854e-05,-6.78183e-06
0,1,34.4537,-1.95518e-05,5.79928e-05,-6.52743e-06
0,1,35.4671,-1.87263e-05,5.57943e-05,-6.27293e-06
0,1,36.4804,-1.79055e-05,5.35901e-05,-6.01833e-06
