time,u0,u1,u2,phase
0,-0.0037332,-8.9318e-05,0.000582887,1
0.5,-0.00204521,-8.88012e-05,0.000209201,1
1,-0.00118131,-8.91424e-05,0.000173772,1
1.5,-0.000738118,-8.95224e-05,0.000165371,1
2,-0.000509542,-8.96428e-05,0.000159258,1
2.5,-0.00039043,-8.95518e-05,0.000153447,1
3,-0.000327153,-8.93342e-05,0.00014777,1
3.5,-0.00029236,-8.90545e-05,0.000142207,1
4,-0.000272102,-8.8754e-05,0.000136752,1
4.5,-0.000259267,-8.84566e-05,0.000131402,1
5,-0.000250226,-8.81757e-05,0.000126155,1
5.5,-0.000243132,-8.79187e-05,0.000121008,1
6,-0.000237042,-8.76892e-05,0.000115959,1
6.5,-0.000231474,-8.7489e-05,0.000111008,1
7,-0.000226184,-8.73189e-05,0.000106152,1
7.5,-0.000221048,-8.71791e-05,0.00010139,1
8,-0.000216003,-8.70694e-05,9.67201e-05,1
8.5,-0.000211017,-8.69894e-05,9.21421e-05,1
9,-0.000206075,-8.69387e-05,8.76542e-05,1
9.5,-0.000201167,-8.69167e-05,8.32553e-05,1
10,-0.000196292,-8.69228e-05,7.89444e-05,1
10.5,-0.000191447,-8.69564e-05,7.47202e-05,1
11,-0.000186633,-8.70167e-05,7.05818e-05,1
11.5,-0.000181849,-8.71031e-05,6.65283e-05,1
12,-0.000177096,-8.72147e-05,6.25587e-05,1
12.5,-0.000172375,-8.73507e-05,5.8672e-05,1
13,-0.000167687,-8.75104e-05,5.48674e-05,1
13.5,-0.000163031,-8.76928e-05,5.11441e-05,1
14,-0.00015841,-8.7897e-05,4.75013e-05,1
14.5,-0.000153824,-8.81222e-05,4.39381e-05,1
15,-0.000149273,-8.83675e-05,4.04538e-05,1
15.5,-0.000144758,-8.86317e-05,3.70477e-05,1
16,-0.000140281,-8.89141e-05,3.37189e-05,1
16.5,-0.000135841,-8.92136e-05,3.04669e-05,1
17,-0.000131439,-8.95291e-05,2.72909e-05,1
17.5,-0.000127077,-8.98597e-05,2.41901e-05,1
18,-0.000122754,-9.02044e-05,2.11639e-05,1
18.5,-0.000118472,-9.05621e-05,1.82116e-05,1
19,-0.00011423,-9.09316e-05,1.53324e-05,1
19.5,-0.00011003,-9.13121e-05,1.25258e-05,1
20,-0.000105872,-9.17024e-05,9.79102e-06,1
20.5,-0.000101755,-9.21015e-05,7.12732e-06,1
21,-9.76821e-05,-9.25082e-05,4.53402e-06,1
21.5,-9.3652e-05,-9.29216e-05,2.01041e-06,1
22,-8.96653e-05,-9.33405e-05,-4.44225e-07,1
22.5,-8.57225e-05,-9.37639e-05,-2.83062e-06,1
23,-8.18239e-05,-9.41907e-05,-5.14952e-06,1
23.5,-7.79696e-05,-9.462e-05,-7.40167e-06,1
24,-7.41599e-05,-9.50505e-05,-9.58785e-06,1
24.5,-7.03951e-05,-9.54814e-05,-1.17088e-05,1
25,-6.66751e-05,-9.59116e-05,-1.37654e-05,1
25.5,-6.30002e-05,-9.63401e-05,-1.57584e-05,1
26,-5.93704e-05,-9.6766e-05,-1.76886e-05,1
26.5,-5.57857e-05,-9.71881e-05,-1.9557e-05,1
27,-5.22462e-05,-9.76056e-05,-2.13642e-05,1
27.5,-4.87518e-05,-9.80176e-05,-2.31113e-05,1
28,-4.53024e-05,-9.8423e-05,-2.47991e-05,1
28.5,-4.18981e-05,-9.88212e-05,-2.64285e-05,1
29,-3.85385e-05,-9.9211e-05,-2.80004e-05,1
29.5,-3.52237e-05,-9.95918e-05,-2.95158e-05,1
30,-3.19534e-05,-9.99627e-05,-3.09757e-05,1
30.5,-2.87274e-05,-0.000100323,-3.23809e-05,1
31,-2.55454e-05,-0.000100671,-3.37325e-05,1
31.5,-2.24073e-05,-0.000101008,-3.50315e-05,1
32,-1.93127e-05,-0.000101331,-3.62789e-05,1
32.5,-1.62613e-05,-0.000101641,-3.74756e-05,1
33,-1.32529e-05,-0.000101937,-3.86228e-05,1
33.5,-1.0287e-05,-0.000102218,-3.97214e-05,1
34,-7.36341e-06,-0.000102483,-4.07725e-05,1
34.5,-4.48165e-06,-0.000102732,-4.17772e-05,1
35,-1.64137e-06,-0.000102965,-4.27365e-05,1
35.5,1.15781e-06,-0.00010318,-4.36514e-05,1
36,3.9163e-06,-0.000103378,-4.4523e-05,1
36.5,6.63452e-06,-0.000103558,-4.53524e-05,1
37,9.31287e-06,-0.00010372,-4.61407e-05,1
37.5,1.19518e-05,-0.000103863,-4.68888e-05,1
38,1.45517e-05,-0.000103987,-4.75979e-05,1
38.5,1.7113e-05,-0.000104092,-4.8269e-05,1
39,1.96361e-05,-0.000104177,-4.89032e-05,1
39.5,2.21215e-05,-0.000104242,-4.95015e-05,1
40,2.45696e-05,-0.000104287,-5.00649e-05,1
