time,wx,wy,wz,qw,qx,qy,qz,angle_to_exclusion,angle_to_los,angle_to_docking,phase
0,0,0,0,0.707107,0,0,0.707107,180,90,90,1
0.5,-0.0015555,-5.58238e-05,0.00145722,0.707107,0,0,0.707107,180,90,90,1
1,-0.00240769,-0.000109908,0.00198031,0.706849,-0.000265108,-0.000284845,0.707364,179.939,89.9554,89.9583,1
1.5,-0.00289996,-0.000162642,0.002415,0.706498,-0.000671281,-0.000729914,0.707714,179.85,89.8865,89.9015,1
2,-0.00320761,-0.000214216,0.0028289,0.70607,-0.00115515,-0.00127132,0.70814,179.742,89.8034,89.8324,1
2.5,-0.00342007,-0.000264572,0.00322773,0.705568,-0.00168432,-0.00187617,0.708638,179.619,89.7115,89.7513,1
3,-0.00358296,-0.000313642,0.00361225,0.704994,-0.00224224,-0.00252738,0.709205,179.484,89.6135,89.6589,1
3.5,-0.00371956,-0.000361387,0.0039828,0.704351,-0.0028204,-0.00321589,0.709839,179.339,89.5108,89.5555,1
4,-0.00384173,-0.000407787,0.00433966,0.703641,-0.00341443,-0.00393679,0.710537,179.183,89.4041,89.4414,1
4.5,-0.00395555,-0.000452839,0.00468311,0.702865,-0.00402206,-0.00468724,0.711296,179.018,89.294,89.3172,1
5,-0.00406411,-0.000496546,0.00501341,0.702027,-0.00464208,-0.00546548,0.712114,178.843,89.1805,89.1832,1
5.5,-0.00416899,-0.000538922,0.00533081,0.701128,-0.0052738,-0.00627033,0.712988,178.659,89.0639,89.0397,1
6,-0.00427102,-0.000579981,0.00563558,0.700171,-0.00591684,-0.00710087,0.713915,178.466,88.9443,88.8872,1
6.5,-0.0043706,-0.000619743,0.00592795,0.699157,-0.00657093,-0.00795632,0.714894,178.265,88.8217,88.726,1
7,-0.00446797,-0.000658231,0.00620818,0.698088,-0.00723588,-0.00883603,0.715921,178.055,88.6962,88.5565,1
7.5,-0.00456323,-0.000695469,0.0064765,0.696966,-0.00791152,-0.00973933,0.716995,177.837,88.5678,88.379,1
8,-0.00465646,-0.000731485,0.00673315,0.695793,-0.00859772,-0.0106656,0.718112,177.611,88.4366,88.1939,1
8.5,-0.00474769,-0.000766307,0.00697835,0.69457,-0.00929431,-0.0116143,0.719271,177.378,88.3027,88.0015,1
9,-0.00483695,-0.000799969,0.00721235,0.693301,-0.0100012,-0.0125849,0.720469,177.137,88.1661,87.8021,1
9.5,-0.00492426,-0.000832502,0.00743535,0.691985,-0.0107181,-0.0135767,0.721704,176.889,88.0269,87.5961,1
10,-0.00500963,-0.000863941,0.00764759,0.690626,-0.011445,-0.0145892,0.722974,176.635,87.8851,87.3838,1
10.5,-0.00509307,-0.000894323,0.00784928,0.689225,-0.0121816,-0.0156219,0.724277,176.374,87.7408,87.1655,1
11,-0.00517459,-0.000923686,0.00804064,0.687782,-0.0129279,-0.0166743,0.72561,176.107,87.5939,86.9416,1
11.5,-0.00525421,-0.000952067,0.00822187,0.686301,-0.0136836,-0.0177457,0.726972,175.834,87.4447,86.7122,1
12,-0.00533194,-0.000979506,0.00839319,0.684783,-0.0144485,-0.0188358,0.728361,175.556,87.2931,86.4778,1
12.5,-0.00540779,-0.00100605,0.00855481,0.683228,-0.0152224,-0.019944,0.729774,175.272,87.1392,86.2386,1
13,-0.00548176,-0.00103173,0.00870693,0.68164,-0.0160051,-0.0210698,0.731209,174.983,86.983,85.9948,1
13.5,-0.00555388,-0.00105659,0.00884976,0.680019,-0.0167965,-0.0222128,0.732666,174.689,86.8246,85.7469,1
14,-0.00562414,-0.00108068,0.00898348,0.678366,-0.0175962,-0.0233725,0.734141,174.39,86.664,85.495,1
14.5,-0.00569257,-0.00110404,0.00910832,0.676684,-0.0184041,-0.0245484,0.735634,174.087,86.5014,85.2394,1
15,-0.00575918,-0.00112671,0.00922445,0.674973,-0.0192199,-0.0257401,0.737143,173.78,86.3366,84.9804,1
15.5,-0.00582398,-0.00114873,0.00933207,0.673236,-0.0200434,-0.0269471,0.738665,173.469,86.1699,84.7182,1
16,-0.00588697,-0.00117016,0.00943138,0.671473,-0.0208743,-0.0281691,0.740199,173.155,86.0013,84.4531,1
16.5,-0.00594818,-0.00119103,0.00952256,0.669686,-0.0217123,-0.0294056,0.741744,172.837,85.8307,84.1853,1
17,-0.00600762,-0.00121139,0.00960582,0.667877,-0.0225572,-0.0306562,0.743298,172.515,85.6583,83.9151,1
17.5,-0.00606529,-0.00123127,0.00968132,0.666046,-0.0234087,-0.0319205,0.74486,172.191,85.4841,83.6427,1
18,-0.00612122,-0.00125074,0.00974926,0.664195,-0.0242665,-0.0331982,0.746427,171.864,85.3082,83.3684,1
18.5,-0.00617542,-0.00126982,0.00980983,0.662325,-0.0251304,-0.0344888,0.748,171.535,85.1306,83.0923,1
19,-0.0062279,-0.00128855,0.0098632,0.660438,-0.0259999,-0.0357921,0.749576,171.203,84.9514,82.8146,1
19.5,-0.00627867,-0.00130699,0.00990956,0.658535,-0.0268749,-0.0371076,0.751154,170.869,84.7706,82.5357,1
20,-0.00632775,-0.00132518,0.00994908,0.656617,-0.0277549,-0.0384351,0.752732,170.533,84.5883,82.2557,1
20.5,-0.00637516,-0.00134315,0.00998194,0.654685,-0.0286397,-0.0397742,0.754311,170.195,84.4045,81.9747,1
21,-0.00642091,-0.00136094,0.0100083,0.652741,-0.029529,-0.0411246,0.755887,169.856,84.2193,81.6931,1
21.5,-0.00646502,-0.00137859,0.0100284,0.650786,-0.0304224,-0.042486,0.757461,169.516,84.0328,81.411,1
22,-0.0065075,-0.00139614,0.0100423,0.64882,-0.0313195,-0.0438581,0.759031,169.174,83.8449,81.1285,1
22.5,-0.00654836,-0.00141364,0.0100503,0.646845,-0.0322201,-0.0452406,0.760596,168.831,83.6557,80.8459,1
23,-0.00658763,-0.00143111,0.0100525,0.644862,-0.0331238,-0.0466332,0.762155,168.487,83.4654,80.5634,1
23.5,-0.00662532,-0.00144859,0.010049,0.642873,-0.0340302,-0.0480356,0.763708,168.143,83.2738,80.2811,1
24,-0.00666145,-0.00146611,0.0100401,0.640877,-0.0349389,-0.0494477,0.765252,167.798,83.0812,79.9992,1
24.5,-0.00669603,-0.00148372,0.0100259,0.638877,-0.0358497,-0.050869,0.766787,167.453,82.8875,79.7178,1
25,-0.00672908,-0.00150144,0.0100066,0.636874,-0.0367621,-0.0522995,0.768313,167.108,82.6927,79.4372,1
25.5,-0.00676062,-0.0015193,0.00998229,0.634867,-0.0376757,-0.0537389,0.769829,166.762,82.497,79.1574,1
26,-0.00679066,-0.00153733,0.00995316,0.632859,-0.0385903,-0.0551869,0.771333,166.417,82.3004,78.8786,1
26.5,-0.00681922,-0.00155557,0.00991938,0.63085,-0.0395054,-0.0566433,0.772825,166.072,82.1029,78.601,1
27,-0.00684632,-0.00157403,0.00988109,0.628841,-0.0404206,-0.0581079,0.774305,165.727,81.9045,78.3247,1
27.5,-0.00687198,-0.00159275,0.00983846,0.626834,-0.0413355,-0.0595805,0.775771,165.383,81.7054,78.0499,1
28,-0.00689621,-0.00161176,0.00979163,0.624828,-0.0422499,-0.0610609,0.777224,165.039,81.5055,77.7766,1
28.5,-0.00691903,-0.00163107,0.00974074,0.622825,-0.0431632,-0.062549,0.778661,164.696,81.305,77.5051,1
29,-0.00694046,-0.00165071,0.00968596,0.620826,-0.0440752,-0.0640444,0.780084,164.354,81.1037,77.2353,1
29.5,-0.00696052,-0.0016707,0.00962741,0.618831,-0.0449853,-0.0655471,0.781491,164.013,80.9019,76.9675,1
30,-0.00697921,-0.00169107,0.00956525,0.616842,-0.0458933,-0.0670569,0.782881,163.673,80.6995,76.7018,1
30.5,-0.00699657,-0.00171182,0.00949962,0.614859,-0.0467988,-0.0685736,0.784255,163.334,80.4965,76.4382,1
31,-0.00701261,-0.00173298,0.00943064,0.612882,-0.0477013,-0.0700971,0.785612,162.997,80.2931,76.177,1
31.5,-0.00702734,-0.00175457,0.00935846,0.610913,-0.0486004,-0.0716271,0.786951,162.661,80.0892,75.9181,1
32,-0.00704078,-0.00177659,0.00928321,0.608953,-0.0494959,-0.0731636,0.788273,162.326,79.8848,75.6616,1
32.5,-0.00705295,-0.00179907,0.00920503,0.607001,-0.0503872,-0.0747064,0.789576,161.993,79.6802,75.4078,1
33,-0.00706386,-0.00182202,0.00912402,0.605059,-0.0512741,-0.0762553,0.79086,161.661,79.4751,75.1566,1
33.5,-0.00707354,-0.00184545,0.00904034,0.603127,-0.0521561,-0.0778103,0.792126,161.332,79.2698,74.9082,1
34,-0.007082,-0.00186937,0.00895409,0.601206,-0.0530328,-0.0793711,0.793372,161.004,79.0642,74.6626,1
34.5,-0.00708925,-0.00189379,0.0088654,0.599297,-0.0539039,-0.0809377,0.794599,160.678,78.8584,74.4199,1
35,-0.00709532,-0.00191872,0.00877438,0.597399,-0.054769,-0.0825099,0.795806,160.354,78.6523,74.1802,1
35.5,-0.00710021,-0.00194416,0.00868115,0.595514,-0.0556277,-0.0840876,0.796993,160.032,78.4462,73.9436,1
36,-0.00710395,-0.00197012,0.00858583,0.593643,-0.0564797,-0.0856707,0.79816,159.713,78.2398,73.7101,1
36.5,-0.00710654,-0.00199661,0.00848852,0.591784,-0.0573245,-0.087259,0.799307,159.395,78.0334,73.4798,1
37,-0.00710802,-0.00202364,0.00838932,0.589941,-0.0581619,-0.0888525,0.800433,159.08,77.827,73.2527,1
37.5,-0.00710838,-0.00205119,0.00828836,0.588111,-0.0589914,-0.090451,0.801538,158.767,77.6204,73.029,1
38,-0.00710765,-0.00207928,0.00818571,0.586297,-0.0598127,-0.0920544,0.802624,158.457,77.4139,72.8086,1
38.5,-0.00710584,-0.00210791,0.0080815,0.584498,-0.0606254,-0.0936626,0.803688,158.148,77.2074,72.5917,1
39,-0.00710297,-0.00213708,0.0079758,0.582715,-0.0614292,-0.0952755,0.804731,157.843,77.001,72.3782,1
39.5,-0.00709905,-0.00216678,0.00786873,0.580948,-0.0622238,-0.0968929,0.805754,157.54,76.7947,72.1683,1
40,-0.00709409,-0.00219702,0.00776035,0.579198,-0.0630087,-0.0985149,0.806755,157.239,76.5885,71.9619,1
40.5,-0.00708812,-0.00222779,0.00765078,0.577465,-0.0637837,-0.100141,0.807736,156.941,76.3824,71.7592,1
41,-0.00708114,-0.00225909,0.00754008,0.575749,-0.0645485,-0.101772,0.808696,156.646,76.1765,71.56,1
41.5,-0.00707317,-0.00229092,0.00742835,0.574051,-0.0653026,-0.103407,0.809635,156.354,75.9708,71.3646,1
42,-0.00706421,-0.00232327,0.00731566,0.572371,-0.0660458,-0.105045,0.810552,156.064,75.7653,71.1728,1
42.5,-0.0070543,-0.00235613,0.0072021,0.570709,-0.0667777,-0.106688,0.811449,155.777,75.56,70.9848,1
43,-0.00704343,-0.00238951,0.00708774,0.569065,-0.0674981,-0.108335,0.812325,155.493,75.3551,70.8006,1
43.5,-0.00703162,-0.00242339,0.00697264,0.56744,-0.0682066,-0.109985,0.813181,155.211,75.1504,70.6202,1
44,-0.00701889,-0.00245776,0.00685689,0.565834,-0.068903,-0.111639,0.814015,154.933,74.9461,70.4435,1
44.5,-0.00700525,-0.00249263,0.00674055,0.564248,-0.0695868,-0.113297,0.814829,154.657,74.7422,70.2707,1
45,-0.0069907,-0.00252797,0.00662368,0.56268,-0.0702579,-0.114958,0.815622,154.385,74.5386,70.1017,1
