phase,node,time,normalized_time,T_i,qw,qx,qy,qz,wx,wy,wz,taux,tauy,tauz
1,0,0.0,0.0,299.0,0.7071067811865476,2.171761530916407e-32,-2.3279905347433208e-32,0.7071067811865476,-1.633670300373191e-33,-3.9677462622253353e-32,1.0587544862585645e-21,-1.7117557907581737e-21,8.424942483501725e-22,3.625676437794624e-09
1,1,1.0,0.0033444816053511705,299.0,0.7071067811865476,5.688574239232224e-32,-6.116550180574472e-32,0.7071067811865477,-8.558778953793582e-21,1.0531178103742698e-21,1.8128382188974117e-08,-1.4935698377888865e-21,-3.782168093228774e-22,-7.9518404540202e-10
1,2,2.0,0.006688963210702341,299.0,0.7071067747771965,-3.398318693857618e-21,-2.65365193688211e-21,0.7071067875958985,-1.6026628081306985e-20,5.803467988242307e-22,1.4152461961961707e-08,-1.732910929770873e-21,3.642606879413764e-21,2.5734097037438943e-09
1,3,3.0,0.010033444816053512,299.0,0.7071067697735455,-9.269770945558123e-21,-8.114737070720358e-21,0.7071067925995494,-2.4691182714133702e-20,5.133605397911606e-21,2.701951048068323e-08,-2.2538238501857263e-21,-7.037817202361297e-22,4.74387278472635e-09
1,4,4.0,0.013377926421404682,299.0,0.7071067602207057,-1.981442592070123e-20,-1.50293848699252e-20,0.7071068021523887,-3.596030155522767e-20,4.253878247815817e-21,5.0738874404320756e-08,-2.2300529000964485e-21,4.1963529672634076e-21,-6.3690267493406974e-09
1,5,5.0,0.016722408026755852,299.0,0.7071067422818039,-3.403228556628598e-20,-2.6239298274749645e-20,0.707106820091289,-4.711056539227772e-20,9.49931945675262e-21,1.889374065760905e-08,-1.5317535562714415e-21,9.978913262725043e-22,-9.168865612764735e-09
1,6,6.0,0.020066889632107024,299.0,0.7071067356018576,-5.4046901857099e-20,-3.9536882529921053e-20,0.7071068267712346,-5.476933262990163e-20,1.074668361462227e-20,-2.6950587406223897e-08,-9.104941109451712e-22,1.7708871967311142e-21,4.447894833814444e-09
1,7,7.0,0.023411371237458192,299.0,0.7071067451303296,-7.721030993472596e-20,-5.510124163763615e-20,0.7071068172427636,-5.93218040245647e-20,1.2960292610682161e-20,-4.711113237137996e-09,-7.0332572456023485e-22,4.004729943165562e-21,5.105912960692976e-09
1,8,8.0,0.026755852842809364,299.0,0.7071067467959596,-1.0276588938878878e-19,-7.149251259746923e-20,0.7071068155771336,-6.283843282331406e-20,1.7966205039350253e-20,2.0818451566338676e-08,-3.9837418772678344e-22,-1.3178188176944671e-21,-7.222077140097529e-09
1,9,9.0,0.030100334448160536,299.0,0.7071067394355252,-1.3133464302036997e-19,-8.735724124525741e-20,0.7071068229375673,-6.483030278055264e-20,1.63189315175725e-20,-1.5291934134157023e-08,8.873877392931615e-23,6.4930444431459874e-21,-7.523647352480436e-09
1,10,10.0,0.033444816053511704,299.0,0.7071067448420407,-1.6002522827482764e-19,-1.0450860374328513e-19,0.7071068175310524,-6.438660958666434e-20,2.443523707116285e-20,-5.291017089657166e-08,1.0238929107742472e-22,-4.596560783513322e-21,3.083028321929666e-09
1,11,11.0,0.03678929765886288,299.0,0.7071067635486118,-1.9142848985763725e-19,-1.1863355276442013e-19,0.7071067988244829,-6.387466694706368e-20,1.8689536092080196e-20,-3.749502928692118e-08,-4.440258252319706e-22,6.613449874108625e-21,4.845079011165727e-09
1,12,12.0,0.04013377926421405,299.0,0.7071067768051067,-2.206193410893633e-19,-1.3460891337072795e-19,0.7071067855679884,-6.6094798246772e-20,2.695634843439683e-20,-1.326963423108526e-08,-8.775263804756774e-22,-5.452907492547689e-21,-1.3678662545363069e-09
1,13,13.0,0.043478260869565216,299.0,0.707106781496631,-2.5351788855997963e-19,-1.4844644663515748e-19,0.7071067808764642,-7.04824312306347e-20,2.014021406902534e-20,-2.0108965503768382e-08,-8.780493719518309e-22,5.2248036935801045e-21,-2.7455037130925238e-09
1,14,14.0,0.046822742474916385,299.0,0.7071067886062239,-2.8555783053962547e-19,-1.6624511077762193e-19,0.7071067737668711,-7.487267929305098e-20,2.667121868569801e-20,-3.383648406923301e-08,-7.835016660074288e-22,-3.818153229798057e-21,1.7156693364394185e-09
1,15,15.0,0.05016722408026756,299.0,0.7071068005692274,-3.214590173272227e-19,-1.8328690505954027e-19,0.7071067618038672,-7.879019031930933e-20,2.1898527148711308e-20,-2.5258137387033475e-08,-8.513345683062447e-22,2.17085002083966e-21,1.0038791406588462e-08
1,16,16.0,0.05351170568561873,299.0,0.707106809499327,-3.5705785305842876e-19,-2.0340114851153825e-19,0.7071067528737668,-8.304686478869388e-20,2.461208967452654e-20,2.4935819645916784e-08,-6.970237616162305e-22,-1.4171462141376683e-21,5.474536633594997e-09
1,17,17.0,0.056856187290969896,299.0,0.7071068006831837,-3.951210447309363e-19,-2.240609554723122e-19,0.7071067616899106,-8.653198181129551e-20,2.2840656907026077e-20,5.230850281389213e-08,2.2866761486091624e-23,-5.733991688009339e-22,-1.1392718078732507e-08
1,18,18.0,0.06020066889632107,299.0,0.7071067821893355,-4.337901185621468e-19,-2.465792278643427e-19,0.7071067801837594,-8.64176443723312e-20,2.2123907945907517e-20,-4.655087579794161e-09,7.68142046822523e-22,-1.2539859459948228e-22,-1.286268364645956e-09
1,19,19.0,0.06354515050167224,299.0,0.7071067838351576,-4.72165351767299e-19,-2.693104974242459e-19,0.7071067785379374,-8.257693438885739e-20,2.19671597027851e-20,-1.1086429403029242e-08,9.67907479509879e-22,-1.287155115349138e-21,1.588128365156286e-08
1,20,20.0,0.06688963210702341,299.0,0.7071067877548022,-5.091272693896484e-19,-2.907392911524415e-19,0.7071067746182926,-7.773739778728624e-20,2.0358215808496722e-20,6.831998885481299e-08,9.55817588403108e-22,-9.369177516383669e-22,-2.118896886381448e-09
1,21,21.0,0.07023411371237458,299.0,0.7071067636000383,-5.438093162647766e-19,-3.110258778189393e-19,0.7071067987730562,-7.295830568631144e-20,1.9187068619037574e-20,5.772550442290786e-08,1.1647210263005356e-21,2.5031753739443307e-22,-1.3485669561957131e-08
1,22,22.0,0.07357859531772576,299.0,0.7071067431909898,-5.7638763430771045e-19,-3.300368660842401e-19,0.707106819182103,-6.713469719746255e-20,1.949996554070373e-20,-9.702843386892872e-09,1.4045924153610524e-21,-3.5663504816721024e-21,-6.450399193006214e-10
1,23,23.0,0.07692307692307693,299.0,0.7071067466214631,-6.070176105764529e-19,-3.4687829139035297e-19,0.7071068157516301,-6.011173568691928e-20,1.5042027438737766e-20,-1.2928042983393159e-08,1.4139711685305788e-21,2.0445939784308182e-21,1.1283345215574068e-09
1,24,24.0,0.0802675585284281,299.0,0.7071067511922168,-6.335884752880296e-19,-3.628128448105216e-19,0.707106811180877,-5.3041880450320273e-20,1.7597769911602958e-20,-7.286370375604974e-09,1.361915266257317e-21,-6.3845038992262675e-21,-3.582467893279905e-09
1,25,25.0,0.08361204013377926,299.0,0.7071067537683379,-6.585633613668706e-19,-3.753442336032565e-19,0.7071068086047562,-4.6232304493202356e-20,9.61714003783831e-21,-2.5198709842004125e-08,1.5422955489675458e-21,3.97718984180269e-21,-3.506787705828517e-09
1,26,26.0,0.08695652173913043,299.0,0.7071067626774274,-6.783091165826621e-19,-3.882896582314573e-19,0.7071067996956671,-3.852082747774909e-20,1.4588627339748858e-20,-4.273264837114571e-08,1.8718568331211045e-21,-6.779567655343277e-21,3.6991721088486467e-09
1,27,27.0,0.0903010033444816,299.0,0.7071067777857005,-6.970861358928683e-19,-3.967509837223789e-19,0.7071067845873947,-2.9161545201962214e-20,6.114167770967316e-21,-2.423678782689885e-08,2.0527856205169114e-21,3.739147100435341e-21,8.910494567875904e-09
1,28,28.0,0.09364548494983277,299.0,0.7071067863546989,-7.095579789963208e-19,-4.0489947064396786e-19,0.7071067760183962,-1.8897617441849903e-20,1.0788101646090121e-20,2.0315685012489862e-08,2.09283987542979e-21,-5.068806398192499e-21,-3.748308841495114e-09
1,29,29.0,0.09698996655518395,299.0,0.7071067791720198,-7.200534697248546e-19,-4.077666101954623e-19,0.7071067832010756,-8.433417559454053e-21,4.4520936486974434e-21,1.5741408050003208e-09,2.0661046520308336e-21,2.4054816166921803e-21,-5.44670435306172e-09
1,30,30.0,0.10033444816053512,299.0,0.707106778615477,-7.246091862469516e-19,-4.091742202003425e-19,0.7071067837576184,1.8971057074189034e-21,7.458945669319548e-21,-2.5659380960324597e-08,1.7517878724505192e-21,-2.1685460358600195e-21,9.671019593818498e-09
1,31,31.0,0.10367892976588629,299.0,0.7071067876874381,-7.265755883400835e-19,-4.0586636585364823e-19,0.7071067746856572,1.0656044614785763e-20,4.748263124655813e-21,2.2695717008780402e-08,1.2514006796090935e-21,1.8219516691940431e-22,5.827734616802924e-09
1,32,32.0,0.10702341137123746,299.0,0.7071067796632904,-7.24486876760891e-19,-4.0042011235183017e-19,0.7071067827098049,1.691304830508063e-20,4.976007083195903e-21,5.183439009280422e-08,1.2790408457391475e-21,2.6935992285388153e-22,-4.6701797455796874e-09
1,33,33.0,0.11036789297658862,299.0,0.7071067613370657,-7.202665057261792e-19,-3.926811438502365e-19,0.707106801036029,2.3308253295235566e-20,5.312706986783816e-21,2.848349136490195e-08,2.155401525336429e-21,-2.6383845470040183e-22,-4.384530472875401e-09
1,34,34.0,0.11371237458193979,299.0,0.7071067512666305,-7.139041252092683e-19,-3.825620958366439e-19,0.7071068111064635,3.408526137708798e-20,4.982908918433615e-21,6.560839000522719e-09,3.2402724319525912e-21,1.3128146680680435e-23,-3.906453223870027e-09
1,35,35.0,0.11705685618729098,299.0,0.7071067489470235,-7.0361489163271755e-19,-3.687494090037607e-19,0.7071068134260703,5.0286623632898185e-20,4.999319101764788e-21,-1.2971427118830793e-08,4.03471144503687e-21,-4.948727489132363e-22,4.1768957735720837e-10
1,36,36.0,0.12040133779264214,299.0,0.7071067535331157,-6.876034100957358e-19,-3.492028802941893e-19,0.7071068088399785,7.046018065129321e-20,4.380728165566846e-21,-1.0882979232040769e-08,5.1520952677902474e-21,-2.7027916918999076e-21,2.2336533853378457e-10
1,37,37.0,0.12374581939799331,299.0,0.7071067573808301,-6.642407947143932e-19,-3.227426261064566e-19,0.7071068049922645,9.62206568452868e-20,1.002238550849991e-21,-9.766152539365339e-09,7.218131669020674e-21,1.3985829077772892e-21,-6.955115478373564e-09
1,38,38.0,0.12709030100334448,299.0,0.7071067608336865,-6.305759997042579e-19,-2.8836914386320416e-19,0.7071068015394083,1.3231131519441832e-19,2.7504671852762375e-21,-4.454172993124031e-08,9.422784492419428e-21,-6.401178308445739e-21,2.0826041010907906e-09
1,39,39.0,0.13043478260869565,299.0,0.7071067765815665,-5.847693175033167e-19,-2.4061760554125954e-19,0.707106785791529,1.7942523727405453e-19,-5.251005699872486e-21,-3.412870942578363e-08,1.0537438748633422e-20,2.8082855385998277e-21,8.626451691387439e-09
1,40,40.0,0.13377926421404682,299.0,0.7071067886478873,-5.194764019635516e-19,-1.7903772493983472e-19,0.7071067737252081,2.3211243161931466e-19,-1.7406487770813548e-21,9.003549031162917e-09,1.0955798751155825e-20,-8.654278368399171e-21,-4.104552219134296e-09
1,41,41.0,0.13712374581939799,299.0,0.7071067854646522,-4.3679685243600405e-19,-9.758899854870357e-20,0.7071067769084434,2.8689142522552214e-19,-1.2558496737171441e-20,-1.1519212064521789e-08,1.2147272123914898e-20,3.1648013933481766e-21,-3.404528810263773e-09
1,42,42.0,0.14046822742474915,299.0,0.7071067895373088,-3.3092531603759418e-19,-5.976647380192288e-22,0.7071067728357868,3.4762778625137674e-19,-8.6024949958268e-21,-2.854185611585003e-08,1.4196298362047676e-20,-8.29895847008358e-21,7.406410805786461e-09
1,43,43.0,0.14381270903010032,299.0,0.7071067996283785,-2.0497889087806974e-19,1.1926587031230844e-19,0.7071067627447166,4.1860927891625827e-19,-1.8976193083107917e-20,8.490197913092081e-09,1.559233809277281e-20,2.782905135783886e-21,5.326308009252667e-09
1,44,44.0,0.14715719063545152,299.0,0.7071067966266403,-5.0269059359222835e-20,2.6055749962142532e-19,0.707106765746455,4.965709688537789e-19,-1.5497561663655305e-20,3.5121737959361746e-08,1.5668715437375534e-20,-5.945216114809912e-21,1.3461548233571132e-11
1,45,45.0,0.1505016722408027,299.0,0.7071067842092309,1.3077451409358222e-19,4.306426308009434e-19,0.7071067781638648,5.749145443512598e-19,-2.2929081806882763e-20,3.518904570052982e-08,1.5280738475642847e-20,1.5859201436447057e-21,-6.455374650639384e-09
1,46,46.0,0.15384615384615385,299.0,0.7071067717680244,3.4214416349950823e-19,6.257989594976244e-19,0.7071067906050711,6.513182343497753e-19,-2.0946681627604415e-20,2.912172447324122e-09,1.4495621382018022e-20,-3.04179864358592e-21,-6.411667029201136e-09
1,47,47.0,0.15719063545150502,299.0,0.707106770738416,5.7982570191895e-19,8.486689618906082e-19,0.7071067916346796,7.237963411451342e-19,-2.474892993179434e-20,-2.9146162698690542e-08,1.1783475345072544e-20,4.335538093294196e-23,4.589629046893749e-09
