phase,node,time,tau,T_i,px,py,pz,vx,vy,vz,Fx,Fy,Fz
1,0,0.0,0.0,299.969,10.0,-35.0,5.0,0.0,0.0,0.0,-0.00238663,-0.0285189,0.0306132
1,1,4.99948,0.016666666666666666,299.969,9.99733,-35.0356,5.03818,-0.00109403,-0.0142522,0.0152755,-0.00274869,-0.0236106,0.0296606
1,2,9.99895,0.03333333333333333,299.969,9.98837,-35.1363,5.15155,-0.00251038,-0.0260368,0.0300743,-0.00304705,-0.0191585,0.0287295
1,3,14.9984,0.05,299.969,9.97166,-35.2904,5.33773,-0.00419177,-0.0355788,0.0444067,-0.00328732,-0.0151454,0.0278194
1,4,19.9979,0.06666666666666667,299.969,9.946,-35.4871,5.59443,-0.00608617,-0.043095,0.0582828,-0.00347503,-0.0115487,0.0269295
1,5,24.9974,0.08333333333333333,299.969,9.91045,-35.7168,5.91938,-0.0081466,-0.0487916,0.0717123,-0.00361556,-0.00834247,0.0260591
1,6,29.9969,0.1,299.969,9.86428,-35.9709,6.31039,-0.010331,-0.0528622,0.0847046,-0.00371401,-0.00549899,0.0252073
1,7,34.9963,0.11666666666666667,299.969,9.80697,-36.2417,6.76527,-0.0126018,-0.0554871,0.0972685,-0.00377518,-0.00298979,0.0243734
1,8,39.9958,0.13333333333333333,299.969,9.73816,-36.5225,7.28192,-0.0149259,-0.0568326,0.109413,-0.00380354,-0.000786709,0.0235563
1,9,44.9953,0.15,299.969,9.65767,-36.8072,7.85826,-0.0172739,-0.0570513,0.121145,-0.00380319,0.00113751,0.0227553
1,10,49.9948,0.16666666666666666,299.969,9.56544,-37.0905,8.49224,-0.0196203,-0.0562825,0.132473,-0.00377788,0.0028088,0.0219695
1,11,54.9942,0.18333333333333332,299.969,9.46154,-37.3678,9.18186,-0.0219427,-0.0546528,0.143405,-0.00373104,0.00425152,0.0211981
1,12,59.9937,0.2,299.969,9.34613,-37.6351,9.92517,-0.024222,-0.0522769,0.153947,-0.00366575,0.00548834,0.0204403
1,13,64.9932,0.21666666666666667,299.969,9.21947,-37.889,10.7202,-0.0264415,-0.0492583,0.164105,-0.00358478,0.00654018,0.0196953
1,14,69.9927,0.23333333333333334,299.969,9.0819,-38.1263,11.5651,-0.0285871,-0.0456901,0.173886,-0.00349065,0.00742625,0.0189624
1,15,74.9921,0.25,299.969,8.93381,-38.3447,12.458,-0.030647,-0.0416561,0.183296,-0.00338558,0.00816406,0.0182408
1,16,79.9916,0.26666666666666666,299.969,8.77567,-38.5419,13.397,-0.0326112,-0.0372314,0.192339,-0.00327155,0.00876954,0.0175299
1,17,84.9911,0.2833333333333333,299.969,8.60796,-38.7162,14.3803,-0.0344714,-0.0324832,0.201022,-0.00315035,0.00925712,0.0168291
1,18,89.9906,0.3,299.969,8.43122,-38.866,15.4061,-0.0362213,-0.0274717,0.209348,-0.00302355,0.0096398,0.0161376
1,19,94.9901,0.31666666666666665,299.969,8.24603,-38.9903,16.4727,-0.0378554,-0.0222506,0.217322,-0.00289253,0.00992926,0.0154551
1,20,99.9895,0.3333333333333333,299.969,8.05296,-39.0881,17.5782,-0.0393698,-0.0168676,0.224949,-0.00275853,0.010136,0.0147807
1,21,104.989,0.35,299.969,7.85263,-39.1587,18.721,-0.0407617,-0.0113655,0.232231,-0.00262264,0.0102694,0.0141142
1,22,109.988,0.36666666666666664,299.969,7.64565,-39.2016,19.8994,-0.0420291,-0.00578238,0.239174,-0.0024858,0.0103377,0.0134548
1,23,114.988,0.38333333333333336,299.969,7.43265,-39.2164,21.1117,-0.043171,-0.000151992,0.24578,-0.00234886,0.0103483,0.0128023
1,24,119.987,0.4,299.969,7.21425,-39.2031,22.3562,-0.0441871,0.00549542,0.252053,-0.00221256,0.0103078,0.0121561
1,25,124.987,0.4166666666666667,299.969,6.99109,-39.1615,23.6311,-0.0450778,0.0111329,0.257995,-0.00207753,0.0102219,0.0115159
1,26,129.986,0.43333333333333335,299.969,6.76379,-39.0918,24.935,-0.0458439,0.0167365,0.26361,-0.00194436,0.0100957,0.0108812
1,27,134.986,0.45,299.969,6.53296,-38.9943,26.2662,-0.0464871,0.0222845,0.268899,-0.00181353,0.00993349,0.0102516
1,28,139.985,0.4666666666666667,299.969,6.29922,-38.8692,27.6229,-0.0470091,0.0277578,0.273866,-0.00168548,0.00973921,0.00962675
1,29,144.985,0.48333333333333334,299.969,6.06317,-38.717,29.0037,-0.0474125,0.033139,0.278512,-0.0015606,0.00951621,0.0090063
1,30,149.984,0.5,299.969,5.82539,-38.5381,30.407,-0.0476997,0.0384125,0.28284,-0.00143921,0.00926741,0.00838986
1,31,154.984,0.5166666666666667,299.969,5.58646,-38.3332,31.8311,-0.047874,0.0435641,0.286852,-0.00132161,0.00899537,0.00777703
1,32,159.983,0.5333333333333333,299.969,5.34693,-38.1029,33.2744,-0.0479386,0.0485809,0.290548,-0.00120807,0.00870235,0.00716738
1,33,164.983,0.55,299.969,5.10735,-37.8478,34.7355,-0.047897,0.0534514,0.293931,-0.00109882,0.00839038,0.00656047
1,34,169.982,0.5666666666666667,299.969,4.86823,-37.5688,36.2126,-0.047753,0.0581649,0.297003,-0.000994039,0.00806127,0.00595577
1,35,174.982,0.5833333333333334,299.969,4.63008,-37.2666,37.7044,-0.0475107,0.0627118,0.299763,-0.000893921,0.00771674,0.00535272
1,36,179.981,0.6,299.969,4.39337,-36.9422,39.2092,-0.0471741,0.0670832,0.302213,-0.000798614,0.00735838,0.00475064
1,37,184.981,0.6166666666666667,299.969,4.15858,-36.5963,40.7254,-0.0467476,0.0712714,0.304353,-0.000708251,0.0069878,0.00414877
