phase,node,time,tau,T_i,px,py,pz,vx,vy,vz,Fx,Fy,Fz
1,0,0.0,0.0,76.7193,10.0,-35.0,5.0,0.0,0.0,0.0,-0.0653894,-0.211025,0.465868
1,1,1.27866,0.016666666666666666,76.7193,9.99467,-35.0172,5.03808,-0.00835335,-0.0269713,0.0595609,-0.064182,-0.172995,0.443841
1,2,2.55731,0.03333333333333333,76.7193,9.97871,-35.0659,5.15052,-0.0166204,-0.0490568,0.116305,-0.0637712,-0.130794,0.421089
1,3,3.83597,0.05,76.7193,9.95217,-35.1392,5.33365,-0.0248888,-0.0657233,0.17014,-0.0630982,-0.0933957,0.399247
1,4,5.11462,0.06666666666666667,76.7193,9.9151,-35.2309,5.58383,-0.0331108,-0.0775849,0.221182,-0.0621921,-0.0605913,0.378316
1,5,6.39328,0.08333333333333333,76.7193,9.86756,-35.335,5.89757,-0.0412442,-0.0852294,0.269547,-0.0610852,-0.0320269,0.358282
1,6,7.67193,0.1,76.7193,9.80971,-35.4465,6.27151,-0.0492524,-0.089199,0.31535,-0.0598092,-0.00728383,0.339117
1,7,8.95059,0.11666666666666667,76.7193,9.74171,-35.561,6.70245,-0.0571043,-0.0899828,0.358701,-0.0583925,0.0140681,0.320786
1,8,10.2292,0.13333333333333333,76.7193,9.66379,-35.6748,7.18732,-0.0647738,-0.0880149,0.399708,-0.0568607,0.0324411,0.303249
1,9,11.5079,0.15,76.7193,9.57619,-35.7846,7.72319,-0.0722391,-0.0836768,0.438472,-0.0552358,0.0482142,0.286462
1,10,12.7866,0.16666666666666666,76.7193,9.47919,-35.8875,8.30726,-0.0794821,-0.0773014,0.475089,-0.0535367,0.0617279,0.270376
1,11,14.0652,0.18333333333333332,76.7193,9.37308,-35.9812,8.93683,-0.0864882,-0.0691784,0.509648,-0.0517797,0.073283,0.254942
1,12,15.3439,0.2,76.7193,9.25817,-36.0635,9.60932,-0.0932456,-0.0595587,0.542232,-0.0499783,0.0831421,0.240112
1,13,16.6225,0.21666666666666667,76.7193,9.13478,-36.1327,10.3223,-0.0997447,-0.04866,0.572919,-0.048144,0.0915326,0.225836
1,14,17.9012,0.23333333333333334,76.7193,9.00325,-36.1872,11.0733,-0.105978,-0.0366708,0.60178,-0.0462862,0.0986503,0.212066
1,15,19.1798,0.25,76.7193,8.86393,-36.2259,11.8601,-0.11194,-0.0237545,0.628878,-0.0444127,0.104663,0.198757
1,16,20.4585,0.26666666666666666,76.7193,8.71716,-36.2475,12.6804,-0.117626,-0.0100533,0.654274,-0.0425301,0.109714,0.185864
1,17,21.7371,0.2833333333333333,76.7193,8.56329,-36.2512,13.5322,-0.123033,0.00430911,0.67802,-0.0406434,0.113925,0.173347
1,18,23.0158,0.3,76.7193,8.40269,-36.2361,14.4133,-0.128159,0.0192246,0.700164,-0.0387568,0.1174,0.161166
1,19,24.2945,0.31666666666666665,76.7193,8.23572,-36.2017,15.3217,-0.133003,0.0345982,0.720749,-0.0368735,0.120225,0.149287
1,20,25.5731,0.3333333333333333,76.7193,8.06274,-36.1474,16.2555,-0.137563,0.0503461,0.739814,-0.0349962,0.122474,0.137676
1,21,26.8518,0.35,76.7193,7.8841,-36.0728,17.2127,-0.14184,0.0663939,0.757393,-0.0331267,0.12421,0.126303
1,22,28.1304,0.36666666666666664,76.7193,7.70018,-35.9775,18.1915,-0.145834,0.0826751,0.773516,-0.0312666,0.125483,0.115141
1,23,29.4091,0.38333333333333336,76.7193,7.51133,-35.8612,19.1899,-0.149545,0.0991297,0.78821,-0.0294169,0.126336,0.104165
1,24,30.6877,0.4,76.7193,7.31792,-35.7239,20.2063,-0.152975,0.115703,0.8015,-0.0275784,0.126805,0.0933535
1,25,31.9664,0.4166666666666667,76.7193,7.1203,-35.5653,21.2387,-0.156125,0.132346,0.813405,-0.0257515,0.126917,0.082686
1,26,33.2451,0.43333333333333335,76.7193,6.91883,-35.3854,22.2855,-0.158995,0.149012,0.823945,-0.0239365,0.126696,0.0721455
1,27,34.5237,0.45,76.7193,6.71386,-35.1842,23.345,-0.161589,0.165656,0.833136,-0.0221337,0.126158,0.0617166
1,28,35.8024,0.4666666666666667,76.7193,6.50576,-34.9618,24.4153,-0.163907,0.182239,0.840991,-0.0203429,0.125319,0.0513863
1,29,37.081,0.48333333333333334,76.7193,6.29487,-34.7183,25.4948,-0.165951,0.19872,0.847524,-0.0185641,0.124186,0.0411432
1,30,38.3597,0.5,76.7193,6.08154,-34.4537,26.5818,-0.167722,0.215062,0.852746,-0.0167973,0.122766,0.0309777
1,31,39.6383,0.5166666666666667,76.7193,5.86611,-34.1684,27.6747,-0.169224,0.231227,0.856666,-0.0150423,0.121062,0.0208821
1,32,40.917,0.5333333333333333,76.7193,5.64894,-33.8625,28.7718,-0.170458,0.247178,0.859294,-0.0132988,0.119074,0.0108502
1,33,42.1956,0.55,76.7193,5.43036,-33.5364,29.8714,-0.171426,0.262878,0.860637,-0.0115669,0.116801,0.000877062
1,34,43.4743,0.5666666666666667,76.7193,5.21071,-33.1905,30.9719,-0.172131,0.278289,0.860704,-0.00984616,0.114236,-0.00904061
1,35,44.753,0.5833333333333334,76.7193,4.99032,-32.825,32.0716,-0.172574,0.293374,0.8595,-0.00813664,0.111374,-0.0189049
1,36,46.0316,0.6,76.7193,4.76954,-32.4404,33.1691,-0.172758,0.308094,0.857034,-0.00643822,0.108207,-0.0287167
1,37,47.3103,0.6166666666666667,76.7193,4.54868,-32.0373,34.2625,-0.172686,0.322409,0.853311,-0.00475083,0.104722,-0.0384757
1,38,48.5889,0.6333333333333333,76.7193,4.32808,-31.6162,35.3505,-0.172359,0.336278,0.848339,-0.00307449,0.100909,-0.0481804
1,39,49.8676,0.65,76.7193,4.10806,-31.1777,36.4312,-0.171782,0.349658,0.842124,-0.00140925,0.0967536,-0.0578283
1,40,51.1462,0.6666666666666666,76.7193,3.88894,-30.7224,37.5032,-0.170956,0.362505,0.834675,0.00024479,0.0922406,-0.0674156
1,41,52.4249,0.6833333333333333,76.7193,3.67102,-30.251,38.565,-0.169886,0.374772,0.825997,0.00188747,0.0873535,-0.0769378
1,42,53.7035,0.7,76.7193,3.45463,-29.7644,39.6148,-0.168572,0.386411,0.816101,0.00351861,0.0820744,-0.0863886
1,43,54.9822,0.7166666666666667,76.7193,3.24008,-29.2633,40.6512,-0.16702,0.397371,0.804994,0.00513801,0.0763842,-0.0957607
1,44,56.2609,0.7333333333333333,76.7193,3.02765,-28.7486,41.6726,-0.165233,0.407599,0.792688,0.00674547,0.0702621,-0.105045
1,45,57.5395,0.75,76.7193,2.81767,-28.2214,42.6776,-0.163213,0.417038,0.779193,0.00834092,0.0636856,-0.11423
1,46,58.8182,0.7666666666666667,76.7193,2.61041,-27.6827,43.6645,-0.160966,0.425631,0.764522,0.00992444,0.0566297,-0.123303
1,47,60.0968,0.7833333333333333,76.7193,2.40617,-27.1335,44.632,-0.158494,0.433315,0.748689,0.0114965,0.049065,-0.132246
1,48,61.3755,0.8,76.7193,2.20523,-26.5752,45.5784,-0.155802,0.440025,0.731712,0.013058,0.0409559,-0.141037
1,49,62.6541,0.8166666666666667,76.7193,2.00787,-26.0089,46.5025,-0.152895,0.44569,0.713608,0.0146109,0.0322557,-0.149653
1,50,63.9328,0.8333333333333334,76.7193,1.81436,-25.4361,47.4026,-0.149775,0.450234,0.694402,0.0161587,0.0229011,-0.158061
1,51,65.2114,0.85,76.7193,1.62498,-24.8583,48.2776,-0.146448,0.453573,0.67412,0.0177065,0.0128023,-0.166227
1,52,66.4901,0.8666666666666667,76.7193,1.43998,-24.277,49.1259,-0.142916,0.455612,0.652792,0.0192629,0.0018299,-0.174114
1,53,67.7688,0.8833333333333333,76.7193,1.25962,-23.6941,49.9463,-0.139182,0.456237,0.630454,0.0208402,-0.0102024,-0.181687
1,54,69.0474,0.9,76.7193,1.08417,-23.1113,50.7376,-0.135247,0.455313,0.607147,0.0224558,-0.0235587,-0.18892
1,55,70.3261,0.9166666666666666,76.7193,0.913884,-22.5308,51.4984,-0.131112,0.45267,0.582914,0.0241329,-0.0386016,-0.195806
1,56,71.6047,0.9333333333333333,76.7193,0.749012,-21.9549,52.2277,-0.126773,0.448092,0.557799,0.0258987,-0.0558045,-0.202356
1,57,72.8834,0.95,76.7193,0.589822,-21.3863,52.9243,-0.122225,0.441302,0.531845,0.0277803,-0.075736,-0.208579
1,58,74.162,0.9666666666666667,76.7193,0.436587,-20.828,53.5873,-0.11746,0.43195,0.505095,0.0297975,-0.0990019,-0.214439
1,59,75.4407,0.9833333333333333,76.7193,0.289593,-20.2836,54.2155,-0.112467,0.41961,0.477595,0.0319647,-0.126124,-0.219844
1,60,76.7193,1.0,76.7193,0.149135,-19.7571,54.8082,-0.107237,0.403788,0.449402,,,
2,0,76.7193,0.0,55.3811,0.147133,-19.7498,54.8191,-0.0257475,0.0585493,-0.120075,0.0224613,-0.126195,-0.101869
2,1,77.6424,0.016666666666666666,55.3811,0.124375,-19.7011,54.7039,-0.0235682,0.0469507,-0.129537,0.0218555,-0.117063,-0.0342672
2,2,78.5654,0.03333333333333333,55.3811,0.103592,-19.6627,54.5829,-0.0214673,0.0361907,-0.13276,0.0208476,-0.104913,0.0247318
2,3,79.4884,0.05,55.3811,0.0846961,-19.6338,54.4614,-0.0194799,0.026548,-0.130536,0.0195693,-0.0908347,0.0753552
2,4,80.4114,0.06666666666666667,55.3811,0.0675715,-19.6131,54.3441,-0.0176286,0.018201,-0.12364,0.0181011,-0.0758028,0.117364
2,5,81.3344,0.08333333333333333,55.3811,0.0520859,-19.5995,54.2349,-0.0159281,0.0112378,-0.112866,0.0165058,-0.0604471,0.150337
2,6,82.2575,0.1,55.3811,0.0380958,-19.5917,54.1371,-0.0143875,0.0056888,-0.0990484,0.0148301,-0.0452264,0.173667
2,7,83.1805,0.11666666666666667,55.3811,0.0254516,-19.5884,54.0531,-0.0130114,0.00154176,-0.0830774,0.0131075,-0.0305489,0.186547
2,8,84.1035,0.13333333333333333,55.3811,0.0140008,-19.5883,53.9843,-0.0118012,-0.00125312,-0.0659174,0.0113595,-0.0168778,0.187934
2,9,85.0265,0.15,55.3811,0.00359045,-19.5901,53.9314,-0.0107567,-0.00278838,-0.0486294,0.00959682,-0.00486003,0.176572
2,10,85.9495,0.16666666666666666,55.3811,-0.00593205,-19.5929,53.8941,-0.00987688,-0.00321632,-0.03239,0.00781874,0.00450365,0.151317
2,11,86.8725,0.18333333333333332,55.3811,-0.0147184,-19.5957,53.8706,-0.00916124,-0.00278156,-0.0184817,0.0060111,0.00977148,0.112368
2,12,87.7956,0.2,55.3811,-0.0229206,-19.5978,53.8583,-0.00861111,-0.00186184,-0.0081684,0.00414408,0.00976968,0.0645586
2,13,88.7186,0.21666666666666667,55.3811,-0.0306938,-19.5991,53.8535,-0.0082315,-0.000943218,-0.00226801,0.0021802,0.00490781,0.0228723
2,14,89.6416,0.23333333333333334,55.3811,-0.0381995,-19.5998,53.8523,-0.0080318,-0.000473935,-0.000215344,0.000216222,0.0119691,0.00756174
2,15,90.5646,0.25,55.3811,-0.0456039,-19.5997,53.8524,-0.0080118,0.000646893,0.000424132,-0.00152364,0.0409202,0.0959745
2,16,91.4876,0.26666666666666666,55.3811,-0.0530622,-19.5973,53.8569,-0.00814751,0.00444008,0.00922426,-0.00296385,0.114856,0.234764
2,17,92.4106,0.2833333333333333,55.3811,-0.0607014,-19.5883,53.8754,-0.00840174,0.015058,0.0308349,-0.00412665,0.209223,0.309585
2,18,93.3337,0.3,55.3811,-0.0686124,-19.5655,53.917,-0.00873334,0.0343868,0.0593515,-0.00512931,0.272802,0.345984
2,19,94.2567,0.31666666666666665,55.3811,-0.0768525,-19.5221,53.9865,-0.00911294,0.0595848,0.0912279,-0.00603938,0.315285,0.363218
2,20,95.1797,0.3333333333333333,55.3811,-0.0854572,-19.4537,54.0861,-0.00952218,0.0887049,0.124695,-0.00688587,0.343061,0.369738
2,21,96.1027,0.35,55.3811,-0.0944481,-19.3572,54.2169,-0.0099487,0.12039,0.158764,-0.00767685,0.360062,0.369702
2,22,97.0257,0.36666666666666664,55.3811,-0.103837,-19.2307,54.3792,-0.0103832,0.153644,0.192829,-0.00840796,0.369061,0.365377
2,23,97.9488,0.38333333333333336,55.3811,-0.113626,-19.0732,54.5727,-0.0108179,0.18773,0.226495,-0.00906771,0.37224,0.35804
2,24,98.8718,0.4,55.3811,-0.123814,-18.8841,54.797,-0.0112449,0.222111,0.259483,-0.0096414,0.371412,0.348342
2,25,99.7948,0.4166666666666667,55.3811,-0.134388,-18.6632,55.0513,-0.0116561,0.256416,0.291576,-0.010114,0.368146,0.336469
2,26,100.718,0.43333333333333335,55.3811,-0.14533,-18.4108,55.3348,-0.0120426,0.29042,0.322573,-0.0104728,0.363844,0.322225
2,27,101.641,0.45,55.3811,-0.156614,-18.1273,55.6462,-0.0123946,0.324028,0.352254,-0.0107096,0.359772,0.305137
2,28,102.564,0.4666666666666667,55.3811,-0.168201,-17.8128,55.9843,-0.0127015,0.357261,0.380358,-0.0108225,0.356953,0.284663
2,29,103.487,0.48333333333333334,55.3811,-0.180045,-17.4679,56.3475,-0.0129526,0.390234,0.406572,-0.0108182,0.355519,0.260875
2,30,104.41,0.5,55.3811,-0.192091,-17.0925,56.7338,-0.0131375,0.423075,0.43059,-0.0107142,0.353031,0.236093
2,31,105.333,0.5166666666666667,55.3811,-0.204273,-16.687,57.1413,-0.0132472,0.455687,0.45232,-0.0105442,0.344842,0.214726
2,32,106.256,0.5333333333333333,55.3811,-0.216519,-16.2517,57.5679,-0.0132768,0.487543,0.472077,-0.010347,0.338169,0.190827
2,33,107.179,0.55,55.3811,-0.228755,-15.7872,58.0118,-0.013225,0.518783,0.489628,-0.0101302,0.343508,0.155848
2,34,108.102,0.5666666666666667,55.3811,-0.240904,-15.2937,58.4703,-0.0130902,0.550516,0.50395,-0.00990171,0.349654,0.120547
2,35,109.025,0.5833333333333334,55.3811,-0.25289,-14.7707,58.9406,-0.0128702,0.582815,0.515013,-0.00969951,0.348961,0.0922911
2,36,109.948,0.6,55.3811,-0.264635,-14.2179,59.4198,-0.012567,0.615051,0.523467,-0.00954026,0.35203,0.0620564
2,37,110.871,0.6166666666666667,55.3811,-0.276063,-13.6352,59.9056,-0.0121843,0.647568,0.52913,-0.00940992,0.36643,0.0234482
2,38,111.794,0.6333333333333333,55.3811,-0.287101,-13.0218,60.395,-0.0117232,0.681414,0.531229,-0.00928194,0.391132,-0.0230102
2,39,112.717,0.65,55.3811,-0.297677,-12.3762,60.8843,-0.0111803,0.71754,0.52904,-0.00912952,0.420625,-0.0745276
2,40,113.64,0.6666666666666666,55.3811,-0.307711,-11.696,61.3694,-0.0105482,0.756386,0.522094,-0.00892754,0.450089,-0.130442
2,41,114.563,0.6833333333333333,55.3811,-0.317116,-10.9786,61.8457,-0.00981703,0.79795,0.509987,-0.00865773,0.4758,-0.191213
2,42,115.486,0.7,55.3811,-0.325796,-10.2218,62.3083,-0.00897537,0.841886,0.492271,-0.00831391,0.495607,-0.256898
2,43,116.409,0.7166666666666667,55.3811,-0.333643,-9.42362,62.7517,-0.0080122,0.887649,0.468491,-0.00790211,0.509376,-0.326603
2,44,117.332,0.7333333333333333,55.3811,-0.34054,-8.5826,63.1702,-0.00691814,0.93468,0.438276,-0.00743661,0.518353,-0.398964
2,45,118.255,0.75,55.3811,-0.346365,-7.69779,63.5577,-0.00568612,0.982537,0.401382,-0.00693474,0.523879,-0.471834
2,46,119.178,0.7666666666666667,55.3811,-0.350986,-6.76857,63.908,-0.00431146,1.0309,0.357762,-0.00641431,0.526811,-0.540656
2,47,120.101,0.7833333333333333,55.3811,-0.354272,-5.79459,64.2152,-0.00279166,1.07954,0.307789,-0.00589474,0.527449,-0.594939
2,48,121.024,0.8,55.3811,-0.356088,-4.77568,64.4739,-0.00112648,1.12822,0.252805,-0.00540808,0.524554,-0.599995
2,49,121.947,0.8166666666666667,55.3811,-0.356301,-3.71197,64.6816,0.00068085,1.17664,0.197354,-0.0048596,0.518614,-0.6
2,50,122.87,0.8333333333333334,55.3811,-0.354778,-2.60382,64.8382,0.00263521,1.22451,0.141903,-0.00429155,0.509393,-0.6
2,51,123.793,0.85,55.3811,-0.351383,-1.45188,64.9436,0.00473699,1.27152,0.0864514,-0.0040155,0.487893,-0.6
2,52,124.716,0.8666666666666667,55.3811,-0.345993,-0.257469,64.9978,0.00695642,1.31654,0.0309998,-0.00427956,0.438741,-0.6
2,53,125.639,0.8833333333333333,55.3811,-0.338526,0.976402,65.0008,0.0092371,1.35702,-0.0244519,-0.00475265,0.374642,-0.6
2,54,126.562,0.9,55.3811,-0.328938,2.2449,64.9527,0.0115493,1.39158,-0.0799035,-0.00537094,0.305729,-0.58499
2,55,127.485,0.9166666666666666,55.3811,-0.317212,3.54237,64.854,0.0138672,1.41977,-0.13397,-0.0061108,0.235987,-0.482582
2,56,128.408,0.9333333333333333,55.3811,-0.303355,4.86288,64.7097,0.016167,1.44152,-0.178583,-0.00695008,0.164425,-0.374185
2,57,129.331,0.95,55.3811,-0.287392,6.20042,64.5289,0.0184262,1.45667,-0.213191,-0.00787261,0.0890613,-0.266334
