phase,node,time,tau,T_i,px,py,pz,vx,vy,vz,Fx,Fy,Fz
1,0,0.0,0.0,80.1261,10.0,-35.0,5.0,0.0,0.0,0.0,-0.0658034,-0.0872087,0.405888
1,1,1.33544,0.016666666666666666,80.1261,9.99416,-35.0078,5.03619,-0.00875735,-0.0116335,0.0541958,-0.0653456,-0.0552893,0.385888
1,2,2.67087,0.03333333333333333,80.1261,9.97664,-35.0282,5.14297,-0.0174811,-0.018979,0.105721,-0.0635227,-0.0379992,0.368596
1,3,4.00631,0.05,80.1261,9.94762,-35.0569,5.31701,-0.0259794,-0.0239906,0.154936,-0.0616432,-0.0224006,0.351891
1,4,5.34174,0.06666666666666667,80.1261,9.90741,-35.0909,5.55529,-0.0342384,-0.0268948,0.20192,-0.0597237,-0.00841104,0.335736
1,5,6.67718,0.08333333333333333,80.1261,9.85634,-35.1275,5.85487,-0.0422469,-0.0279073,0.246747,-0.0577784,0.00407418,0.320096
1,6,8.01261,0.1,80.1261,9.79475,-35.1643,6.21293,-0.0499964,-0.0272296,0.289484,-0.0558193,0.0151723,0.30494
1,7,9.34805,0.11666666666666667,80.1261,9.72299,-35.1992,6.6267,-0.0574804,-0.0250477,0.330197,-0.0538567,0.0250051,0.290237
1,8,10.6835,0.13333333333333333,80.1261,9.64141,-35.2303,7.09353,-0.0646945,-0.0215315,0.368945,-0.0518991,0.0336939,0.27596
1,9,12.0189,0.15,80.1261,9.55037,-35.2559,7.61083,-0.0716356,-0.0168344,0.405786,-0.0499535,0.0413549,0.262082
1,10,13.3544,0.16666666666666666,80.1261,9.45026,-35.2746,8.17609,-0.0783023,-0.0110945,0.440773,-0.0480254,0.0480974,0.248579
1,11,14.6898,0.18333333333333332,80.1261,9.34142,-35.285,8.78687,-0.0846939,-0.00443529,0.473956,-0.0461195,0.0540222,0.235427
1,12,16.0252,0.2,80.1261,9.22423,-35.2859,9.44079,-0.0908112,0.00303327,0.505382,-0.044239,0.059221,0.222604
1,13,17.3607,0.21666666666666667,80.1261,9.09905,-35.2764,10.1355,-0.0966552,0.0112134,0.535093,-0.0423864,0.0637761,0.210088
1,14,18.6961,0.23333333333333334,80.1261,8.96625,-35.2555,10.8688,-0.102228,0.0200184,0.563133,-0.0405635,0.0677611,0.197859
1,15,20.0315,0.25,80.1261,8.82619,-35.2226,11.6385,-0.107531,0.0293713,0.589538,-0.0387713,0.071241,0.185898
1,16,21.367,0.26666666666666666,80.1261,8.67922,-35.1768,12.4424,-0.112568,0.0392039,0.614345,-0.0370103,0.074273,0.174187
1,17,22.7024,0.2833333333333333,80.1261,8.5257,-35.1176,13.2783,-0.117342,0.0494557,0.637586,-0.0352807,0.0769067,0.162708
1,18,24.0378,0.3,80.1261,8.36598,-35.0444,14.1442,-0.121855,0.0600726,0.659293,-0.033582,0.0791854,0.151446
1,19,25.3733,0.31666666666666665,80.1261,8.20041,-34.9569,15.0382,-0.126111,0.0710065,0.679495,-0.0319137,0.081146,0.140386
1,20,26.7087,0.3333333333333333,80.1261,8.02932,-34.8546,15.9581,-0.130112,0.0822141,0.698218,-0.0302748,0.0828202,0.129513
1,21,28.0441,0.35,80.1261,7.85306,-34.7372,16.9021,-0.133863,0.0936566,0.715488,-0.0286645,0.0842346,0.118814
1,22,29.3796,0.36666666666666664,80.1261,7.67195,-34.6043,17.8681,-0.137366,0.105299,0.731327,-0.0270815,0.0854115,0.108279
1,23,30.715,0.38333333333333336,80.1261,7.48632,-34.4558,18.8544,-0.140625,0.117107,0.745758,-0.0255246,0.0863688,0.0978947
1,24,32.0505,0.4,80.1261,7.29651,-34.2915,19.859,-0.143642,0.129053,0.758801,-0.0239924,0.0871213,0.0876522
1,25,33.3859,0.4166666666666667,80.1261,7.10283,-34.1111,20.8801,-0.146421,0.141108,0.770475,-0.0224837,0.0876801,0.077542
1,26,34.7213,0.43333333333333335,80.1261,6.90559,-33.9145,21.916,-0.148964,0.153245,0.780796,-0.0209971,0.0880537,0.0675556
1,27,36.0568,0.45,80.1261,6.70511,-33.7017,22.9647,-0.151274,0.165439,0.789783,-0.0195312,0.0882478,0.0576854
1,28,37.3922,0.4666666666666667,80.1261,6.5017,-33.4726,24.0245,-0.153355,0.177665,0.797449,-0.0180849,0.0882656,0.0479244
1,29,38.7276,0.48333333333333334,80.1261,6.29566,-33.2272,25.0937,-0.155207,0.189899,0.803811,-0.0166567,0.0881084,0.0382663
1,30,40.0631,0.5,80.1261,6.08731,-32.9655,26.1705,-0.156834,0.202118,0.808881,-0.0152456,0.0877753,0.0287054
1,31,41.3985,0.5166666666666667,80.1261,5.87692,-32.6874,27.2532,-0.158239,0.214296,0.812672,-0.0138504,0.0872638,0.0192368
1,32,42.7339,0.5333333333333333,80.1261,5.66481,-32.3931,28.3402,-0.159423,0.22641,0.815197,-0.01247,0.0865698,0.00985568
1,33,44.0694,0.55,80.1261,5.45126,-32.0828,29.4297,-0.160389,0.238434,0.816468,-0.0111035,0.0856876,0.000558125
1,34,45.4048,0.5666666666666667,80.1261,5.23657,-31.7564,30.52,-0.161138,0.250342,0.816496,-0.00974998,0.0846104,-0.00865957
1,35,46.7402,0.5833333333333334,80.1261,5.02102,-31.4142,31.6096,-0.161674,0.262109,0.81529,-0.00840858,0.0833303,-0.0178007
1,36,48.0757,0.6,80.1261,4.80489,-31.0565,32.6968,-0.161997,0.273706,0.812863,-0.00707858,0.0818385,-0.0268682
1,37,49.4111,0.6166666666666667,80.1261,4.58848,-30.6833,33.7799,-0.162111,0.285105,0.809222,-0.00575933,0.0801255,-0.0358648
1,38,50.7465,0.6333333333333333,80.1261,4.37205,-30.2951,34.8573,-0.162017,0.296275,0.804379,-0.00445028,0.0781811,-0.044793
1,39,52.082,0.65,80.1261,4.15588,-29.8922,35.9275,-0.161717,0.307184,0.798341,-0.00315095,0.0759949,-0.0536551
1,40,53.4174,0.6666666666666666,80.1261,3.94025,-29.4749,36.9888,-0.161213,0.317801,0.791119,-0.00186096,0.0735565,-0.0624533
1,41,54.7529,0.6833333333333333,80.1261,3.72543,-29.0436,38.0396,-0.160508,0.32809,0.78272,-0.000579997,0.0708558,-0.0711896
1,42,56.0883,0.7,80.1261,3.51168,-28.5988,39.0785,-0.159604,0.338016,0.773152,0.000692159,0.067883,-0.0798659
1,43,57.4237,0.7166666666666667,80.1261,3.29927,-28.1411,40.1039,-0.158502,0.347542,0.762424,0.00195568,0.0646294,-0.0884841
1,44,58.7592,0.7333333333333333,80.1261,3.08847,-27.6709,41.1141,-0.157206,0.35663,0.750544,0.00321068,0.0610875,-0.0970453
1,45,60.0946,0.75,80.1261,2.87952,-27.1889,42.1077,-0.155717,0.365241,0.737519,0.00445728,0.0572511,-0.10555
1,46,61.43,0.7666666666666667,80.1261,2.67269,-26.6957,43.0832,-0.154039,0.373335,0.723356,0.00569566,0.0531156,-0.113999
1,47,62.7655,0.7833333333333333,80.1261,2.46822,-26.1921,44.0389,-0.152174,0.380872,0.708064,0.00692611,0.0486771,-0.122389
1,48,64.1009,0.8,80.1261,2.26637,-25.6789,44.9736,-0.150124,0.387811,0.69165,0.00814921,0.0439314,-0.130717
1,49,65.4363,0.8166666666666667,80.1261,2.06738,-25.1568,45.8855,-0.147893,0.394109,0.674122,0.00936599,0.0388712,-0.138975
1,50,66.7718,0.8333333333333334,80.1261,1.87148,-24.6267,46.7733,-0.145483,0.399725,0.65549,0.0105782,0.0334812,-0.147151
1,51,68.1072,0.85,80.1261,1.67892,-24.0896,47.6355,-0.142897,0.404614,0.635765,0.0117887,0.0277299,-0.15523
