phase,node,time,tau,T_i,px,py,pz,vx,vy,vz,Fx,Fy,Fz
1,0,0.0,0.0,451.974,10.0,-35.0,5.0,0.0,0.0,0.0,-0.0103377,0.00879702,0.0378048
1,1,7.53291,0.016666666666666666,451.974,9.97181,-34.9749,5.10709,-0.00746713,0.00668787,0.0284334,-0.00863741,0.00629751,0.0330506
1,2,15.0658,0.03333333333333333,451.974,9.89256,-34.9061,5.41488,-0.0135601,0.0116037,0.0532836,-0.0072802,0.00434372,0.0294198
1,3,22.5987,0.05,451.974,9.77153,-34.8054,5.89954,-0.0185643,0.0151383,0.0753952,-0.0060839,0.00279561,0.026118
1,4,30.1316,0.06666666666666667,451.974,9.61638,-34.6822,6.54139,-0.0226221,0.0175808,0.0950146,-0.00517616,0.00170725,0.0235942
1,5,37.6645,0.08333333333333333,451.974,9.43336,-34.5435,7.32384,-0.025967,0.0192639,0.112727,-0.00433912,0.000877236,0.0210569
1,6,45.1974,0.1,451.974,9.22759,-34.3942,8.23249,-0.0286636,0.0203711,0.12852,-0.00356781,0.000264939,0.0185125
1,7,52.7303,0.11666666666666667,451.974,9.00373,-34.2382,9.25285,-0.0307704,0.0210563,0.142388,-0.00285907,-0.000161558,0.0159794
1,8,60.2632,0.13333333333333333,451.974,8.76602,-34.0781,10.3705,-0.0323405,0.0214503,0.154338,-0.00220413,-0.000432449,0.0134565
1,9,67.7962,0.15,451.974,8.51835,-33.9157,11.5709,-0.0334188,0.0216619,0.164377,-0.00159708,-0.000575208,0.0109492
1,10,75.3291,0.16666666666666666,451.974,8.26426,-33.7521,12.8398,-0.0340438,0.0217798,0.172517,-0.00103501,-0.000618379,0.00846976
1,11,82.862,0.18333333333333332,451.974,8.00703,-33.5877,14.1629,-0.0342504,0.021872,0.178778,-0.000509739,-0.000598428,0.0060173
1,12,90.3949,0.2,451.974,7.74972,-33.4225,15.5262,-0.0340666,0.0219795,0.183179,-5.74774e-06,-0.000579215,0.00360547
1,13,97.9278,0.21666666666666667,451.974,7.49521,-33.2565,16.9158,-0.0335081,0.0220953,0.185751,0.000247545,-0.000603805,0.00210986
1,14,105.461,0.23333333333333334,451.974,7.2456,-33.0898,18.3205,-0.0327639,0.022182,0.187184,0.000218939,-0.000584409,0.00159239
1,15,112.994,0.25,451.974,7.0015,-32.9223,19.7344,-0.0320463,0.0222713,0.188215,0.000190436,-0.000555094,0.00110059
1,16,120.526,0.26666666666666666,451.974,6.76271,-32.7542,21.1546,-0.0313551,0.0223712,0.188863,-0.000397968,-0.000443012,0.00230305
1,17,128.059,0.2833333333333333,451.974,6.52743,-32.585,22.5831,-0.0311111,0.0225479,0.190404,-0.000356385,-0.000433336,0.001671
1,18,135.592,0.3,451.974,6.2941,-32.4144,24.0214,-0.0308392,0.0227277,0.191456,0.000163322,-0.000470167,-6.8769e-05
1,19,143.125,0.31666666666666665,451.974,6.06428,-32.2427,25.4626,-0.0301792,0.0228721,0.191185,0.000107979,-0.000387792,-0.000280894
1,20,150.658,0.3333333333333333,451.974,5.83926,-32.0696,26.9011,-0.0295642,0.0230681,0.190741,3.53905e-05,-0.000305257,-0.000577801
1,21,158.191,0.35,451.974,5.61866,-31.8949,28.3354,-0.0290062,0.0233168,0.190061,-2.13851e-05,-0.00023527,-0.000964695
1,22,165.724,0.36666666666666664,451.974,5.40209,-31.7182,29.7634,-0.0284924,0.0236094,0.189077,-0.000110337,-0.000159666,-0.00112881
1,23,173.257,0.38333333333333336,451.974,5.18914,-31.539,31.1835,-0.0280461,0.0239511,0.187957,-9.39452e-05,-7.77101e-05,-0.00169661
1,24,180.79,0.4,451.974,4.9796,-31.3571,32.5935,-0.027587,0.0243471,0.186396,-0.000117749,-6.11837e-06,-0.00200731
1,25,188.323,0.4166666666666667,451.974,4.77346,-31.1721,33.9908,-0.0271445,0.0247897,0.184589,-0.00013732,6.1982e-05,-0.00229955
1,26,195.856,0.43333333333333335,451.974,4.5706,-30.9835,35.3736,-0.0267146,0.0252765,0.182549,-0.00015322,0.000127322,-0.0025785
1,27,203.388,0.45,451.974,4.37094,-30.7911,36.7402,-0.0262938,0.0258055,0.180287,-0.000165768,0.000190106,-0.00284699
1,28,210.921,0.4666666666666667,451.974,4.17444,-30.5945,38.089,-0.0258787,0.0263751,0.177811,-0.000175246,0.000250356,-0.00310709
1,29,218.454,0.48333333333333334,451.974,3.98105,-30.3936,39.4183,-0.0254663,0.0269832,0.175127,-0.000181927,0.000308056,-0.00336055
1,30,225.987,0.5,451.974,3.79076,-30.1879,40.7267,-0.0250537,0.0276281,0.17224,-0.000186084,0.000363205,-0.00360891
1,31,233.52,0.5166666666666667,451.974,3.60359,-29.9772,42.0126,-0.0246385,0.0283077,0.169155,-0.000187977,0.000415825,-0.00385348
1,32,241.053,0.5333333333333333,451.974,3.41957,-29.7613,43.2744,-0.0242183,0.0290202,0.165874,-0.000187856,0.000465969,-0.00409541
1,33,248.586,0.55,451.974,3.23874,-29.5398,44.5109,-0.023791,0.0297635,0.1624,-0.000185956,0.000513708,-0.00433568
1,34,256.119,0.5666666666666667,451.974,3.06117,-29.3127,45.7204,-0.0233546,0.0305357,0.158734,-0.000182489,0.000559129,-0.00457512
1,35,263.652,0.5833333333333334,451.974,2.88692,-29.0797,46.9016,-0.0229074,0.0313349,0.154877,-0.000177649,0.000602328,-0.00481439
1,36,271.185,0.6,451.974,2.71608,-28.8405,48.0531,-0.022448,0.0321592,0.15083,-0.000171608,0.000643404,-0.00505405
1,37,278.718,0.6166666666666667,451.974,2.54876,-28.5951,49.1733,-0.0219748,0.0330069,0.146592,-0.000164516,0.000682457,-0.00529453
1,38,286.25,0.6333333333333333,451.974,2.38506,-28.3432,50.2609,-0.0214866,0.0338761,0.142163,-0.000156503,0.000719586,-0.00553613
1,39,293.783,0.65,451.974,2.2251,-28.0846,51.3144,-0.0209823,0.0347652,0.137542,-0.000147683,0.000754884,-0.00577908
1,40,301.316,0.6666666666666666,451.974,2.06899,-27.8193,52.3324,-0.0204609,0.0356725,0.13273,-0.000138151,0.00078844,-0.00602352
1,41,308.849,0.6833333333333333,451.974,1.91689,-27.5471,53.3134,-0.0199215,0.0365964,0.127724,-0.000127987,0.000820338,-0.00626951
1,42,316.382,0.7,451.974,1.76892,-27.2679,54.2559,-0.0193631,0.0375354,0.122525,-0.000117258,0.000850656,-0.00651705
1,43,323.915,0.7166666666666667,451.974,1.62523,-26.9816,55.1586,-0.0187851,0.0384879,0.11713,-0.00010602,0.000879471,-0.00676609
1,44,331.448,0.7333333333333333,451.974,1.48597,-26.688,56.0199,-0.0181868,0.0394525,0.111541,-9.43177e-05,0.000906855,-0.00701655
1,45,338.981,0.75,451.974,1.35129,-26.3871,56.8383,-0.0175674,0.0404278,0.105755,-8.21888e-05,0.000932879,-0.00726831
1,46,346.514,0.7666666666666667,451.974,1.22137,-26.0789,57.6124,-0.0169264,0.0414124,0.0997728,-6.96621e-05,0.000957612,-0.00752121
1,47,354.047,0.7833333333333333,451.974,1.09635,-25.7632,58.3407,-0.0162632,0.042405,0.0935933,-5.67622e-05,0.000981126,-0.00777511
1,48,361.579,0.8,451.974,0.976418,-25.44,59.0217,-0.0155772,0.0434043,0.0872162,-4.35075e-05,0.00100349,-0.00802984
