phase,node,time,normalized_time,T_i,qw,qx,qy,qz,wx,wy,wz,taux,tauy,tauz
1,0,0.0,0.0,107.0,0.7071067811865347,-1.6807468452362517e-16,1.67220493913727e-16,0.7071067811865347,2.742782150536148e-19,9.081551510955906e-17,-1.6863947817962633e-18,-7.300837241144026e-09,-8.34372922012202e-07,-2.323897621064053e-09
1,1,0.5,0.004672897196261682,107.0,0.7071067811865218,-3.56747337680845e-16,3.5450621320082423e-16,0.7071067811865217,-1.8252093102552347e-08,-5.214830761255038e-07,-5.8097440546062684e-09,-6.1865386615796654e-09,-8.283308159114744e-07,-1.7938578558604292e-09
1,2,1.0,0.009345794392523364,107.0,0.7071067822135302,8.895950980188192e-08,-9.54125991926471e-08,0.7071067801594755,-3.371843521198058e-08,-1.0391898360556822e-06,-1.029440297146384e-08,-5.065133168537612e-09,-8.224943893337494e-07,-1.367748753803808e-09
1,3,1.5,0.014018691588785047,107.0,0.7071067840332799,2.6670342154903473e-07,-2.8507777806293867e-07,0.7071067783396043,-4.6381252086575626e-08,-1.5532488293904237e-06,-1.371382741572147e-08,-3.950012713939391e-09,-8.168185734203721e-07,-1.0136393772095947e-09
1,4,2.0,0.018691588785046728,107.0,0.7071067864573909,5.330824926820987e-07,-5.678550984031366e-07,0.707106775915146,-5.62562519199545e-08,-2.0637604377895817e-06,-1.624803392106424e-08,-2.8429779677474423e-09,-8.112664087239393e-07,-6.404983129738098e-10
1,5,2.5,0.02336448598130841,107.0,0.7071067893292718,8.879624491793936e-07,-9.426246444135406e-07,0.707106773042482,-6.336364654125839e-08,-2.570801943261256e-06,-1.7849453852546446e-08,-1.7419155504219082e-09,-8.058051298686987e-07,-1.8095564057286037e-11
1,6,3.0,0.028037383177570093,107.0,0.7071067924838881,1.3312191055346699e-06,-1.4082837350657068e-06,0.7071067698863698,-6.771836658620629e-08,-3.0744301494550864e-06,-1.7894937105622757e-08,-6.428954269418115e-10,-8.004039748220609e-07,2.089261831145337e-10
1,7,3.5,0.03271028037383177,107.0,0.7071067956460139,1.8627356779992764e-06,-1.963742370663414e-06,0.7071067667216929,-6.932552262846762e-08,-3.574682633750984e-06,-1.7372933940770634e-08,4.5885833948954566e-10,-7.950329596595834e-07,-4.3103587588997895e-10
1,8,4.0,0.037383177570093455,107.0,0.7071067987151253,2.482401122290346e-06,-2.6079180976559647e-06,0.7071067636485686,-6.817828362566196e-08,-4.071578233576353e-06,-1.845089535551376e-08,1.5684129415094953e-09,-7.896621957054245e-07,1.1205949847505101e-10
1,9,4.5,0.04205607476635514,107.0,0.7071068019738214,3.190108932959705e-06,-3.339730583752783e-06,0.7071067603839292,-6.425713858549516e-08,-4.565117105936295e-06,-1.817116299908623e-08,2.6907544556468537e-09,-7.842615063440641e-07,3.2398281540459175e-10
1,10,5.0,0.04672897196261682,107.0,0.707106805181825,3.985756079489391e-06,-4.158096077151042e-06,0.7071067571675226,-5.75301280161453e-08,-5.0552805474512275e-06,-1.736164597254469e-08,3.830572540946109e-09,-7.7880022071386e-07,4.557700024737801e-10
1,11,5.5,0.0514018691588785,107.0,0.707106808245183,4.869241875074262e-06,-5.0619218697125235e-06,0.7071067540927128,-4.795356501178406e-08,-5.542030685453024e-06,-1.6222657212719608e-08,4.992086335486299e-09,-7.732470631631913e-07,1.1935060304045954e-09
1,12,6.0,0.056074766355140186,107.0,0.7071068111053231,5.840466660763207e-06,-6.050100835440151e-06,0.7071067512174257,-3.547321431335344e-08,-6.0253100999912675e-06,-1.3239290776755428e-08,6.178907404149533e-09,-7.675700978627311e-07,1.1978749445411455e-09
1,13,6.5,0.06074766355140187,107.0,0.7071068134358433,6.899330212185572e-06,-7.121506112657278e-06,0.7071067488673604,-2.0025826146699917e-08,-6.505041411222184e-06,-1.0244924020949819e-08,7.393946565258715e-09,-7.617367150821438e-07,7.103957766236918e-10
1,14,7.0,0.06542056074766354,107.0,0.7071068152344112,8.045729809424221e-06,-8.274985977416597e-06,0.7071067470440919,-1.5408597680242917e-09,-6.98112685822051e-06,-8.469129982611717e-09,8.639300741883521e-09,-7.557136360058203e-07,6.396926381226411e-10
1,15,7.5,0.07009345794392523,107.0,0.7071068167160258,9.279557923210577e-06,-9.509358951485414e-06,0.707106745531811,2.0057480772855516e-08,-7.453447880801207e-06,-6.869914522681622e-09,9.916159194006448e-09,-7.494669285047167e-07,1.6670131240405057e-10
1,16,8.0,0.07476635514018691,107.0,0.7071068179114589,1.0600699462809794e-05,-1.0823409200682387e-05,0.7071067442988851,4.4847955564783114e-08,-7.92186471119856e-06,-6.452936995565544e-09,1.1224744770683483e-08,-7.429620473631642e-07,-1.3086166899880548e-09
1,17,8.5,0.0794392523364486,107.0,0.7071068190292326,1.2009028555587971e-05,-1.2215882257410428e-05,0.707106743135882,7.290989417054479e-08,-8.386215990887047e-06,-9.72394580152109e-09,1.2564185453408705e-08,-7.361638613264483e-07,-1.1677722100189339e-09
1,18,9.0,0.08411214953271028,107.0,0.7071068207208006,1.3504404836556947e-05,-1.3685481097691794e-05,0.7071067413903912,1.0432048012487243e-07,-8.846318404306937e-06,-1.2642459169485637e-08,1.3932451293003925e-08,-7.290367188709141e-07,-9.33363299314592e-10
1,19,9.5,0.08878504672897196,107.0,0.7071068229233298,1.5086669167878118e-05,-1.5230862658336754e-05,0.7071067391242456,1.3915177611638512e-07,-9.301966353696199e-06,-1.4974483139597056e-08,1.5326241913464684e-08,-7.215444969534317e-07,-7.804360630329818e-10
1,20,10.0,0.09345794392523364,107.0,0.7071068255325981,1.6755638804672846e-05,-1.6850634793404788e-05,0.7071067364406244,1.7746758983846487e-07,-9.75293166439084e-06,-1.6923631719628364e-08,1.6740884380669498e-08,-7.136506693564763e-07,-1.4208357858964973e-09
1,21,10.5,0.09813084112149532,107.0,0.7071068284803549,1.8511101946214016e-05,-1.8543353740894255e-05,0.7071067334066964,2.1932004837292494e-07,-1.0198963332840903e-05,-2.0473124940588647e-08,1.8170239417195302e-08,-7.053183672434257e-07,-7.644867992111988e-10
1,22,11.0,0.102803738317757,107.0,0.7071068320489156,2.0352811643936167e-05,-2.0307522143512266e-05,0.7071067297390281,2.647459601231839e-07,-1.0639787312473535e-05,-2.2380986683090037e-08,1.9606564306766155e-08,-6.965104669415716e-07,9.581606595644098e-11
1,23,11.5,0.10747663551401869,107.0,0.7071068359474697,2.2280478996030303e-05,-2.2141587707095843e-05,0.7071067257272793,3.13762728083849e-07,-1.1075106354420433e-05,-2.2137221257070598e-08,2.104042036410676e-08,-6.871896636218907e-07,9.316380879807943e-10
1,24,12.0,0.11214953271028037,107.0,0.7071068397950331,2.429376562617368e-05,-2.4043942518740182e-05,0.7071067217512531,3.663641467526292e-07,-1.1504599894295148e-05,-1.9802913603730083e-08,2.246052886693004e-08,-6.773185575064758e-07,1.1731737972720545e-09
1,25,12.5,0.11682242990654206,107.0,0.7071068432214037,2.6392275391115806e-05,-2.6012923095949818e-05,0.7071067181799454,4.2251581065729894e-07,-1.1927923992850031e-05,-1.686365680109853e-08,2.3853770715192407e-08,-6.668597498650642e-07,6.219242565074176e-10
1,26,13.0,0.12149532710280374,107.0,0.7071068461189831,2.8575545272730146e-05,-2.8046811230201868e-05,0.7071067151197262,4.821505391684104e-07,-1.2344711336631016e-05,-1.5301286555056006e-08,2.520501078718437e-08,-6.557759321540998e-07,-3.548386435802856e-11
1,27,13.5,0.1261682242990654,107.0,0.707106848730503,3.084303545776602e-05,-3.014383564295631e-05,0.7071067123266177,5.45163349471886e-07,-1.2754571294344305e-05,-1.5381068202156022e-08,2.6497074935251802e-08,-6.440299821735812e-07,-4.0916969809515965e-10
1,28,14.0,0.1308411214953271,107.0,0.7071068513455778,3.319411852338111e-05,-3.230217455608211e-05,0.7071067095097459,6.114063310790411e-07,-1.3157090033321096e-05,-1.6393562460253514e-08,2.77107296466366e-08,-6.315850578866395e-07,-1.106083962108041e-09
1,29,14.5,0.13551401869158877,107.0,0.7071068541284026,3.5628067739662815e-05,-3.451995918657392e-05,0.7071067065036482,6.806834787336927e-07,-1.3551830694619541e-05,-1.9146705873363176e-08,2.8824327841042905e-08,-6.184047166275096e-07,6.197275049565446e-11
1,30,15.0,0.14018691588785046,107.0,0.7071068573859932,3.8144044509061034e-05,-3.6795278165771764e-05,0.7071067030000387,7.527446875464359e-07,-1.3938333642631681e-05,-1.897793723622247e-08,2.981408359060391e-08,-6.044529859736675e-07,1.330989156027442e-09
1,31,15.5,0.14485981308411214,107.0,0.7071068606011324,4.074108472752383e-05,-3.912618312714833e-05,0.7071066995148666,8.272802933050067e-07,-1.4316116758985477e-05,-1.563472633613778e-08,3.065382089002408e-08,-5.896945008827709e-07,2.651962053071052e-09
1,32,16.0,0.14953271028037382,107.0,0.7071068632119656,4.341808431646918e-05,-4.151069522457543e-05,0.7071066966087282,9.039151812738168e-07,-1.4684675822157423e-05,-8.98705604141551e-09,3.1314894560009856e-08,-5.740945890389129e-07,2.961942425970889e-09
